ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600158.SH,20260331,10.96,11.99,10.96,11.99,10.9,1.09,10.0,1274490.08,1497795.517
600158.SH,20260330,10.61,11.08,10.45,10.9,10.81,0.09,0.8326,750957.43,812776.479
600158.SH,20260327,10.62,10.97,10.42,10.81,10.76,0.05,0.4647,858404.21,921931.813
600158.SH,20260326,11.78,11.95,10.76,10.76,11.23,-0.47,-4.1852,1234670.15,1394007.038
600158.SH,20260325,10.22,11.23,10.22,11.23,10.21,1.02,9.9902,1067470.03,1175623.454
600158.SH,20260324,10.13,10.23,9.76,10.21,9.95,0.26,2.6131,530787.74,532114.634
600158.SH,20260323,10.35,10.48,9.85,9.95,10.58,-0.63,-5.9546,573269.39,582993.983
600158.SH,20260320,10.65,11.0,10.58,10.58,10.58,0.0,0.0,538060.43,580899.545
600158.SH,20260319,10.7,10.78,10.48,10.58,10.81,-0.23,-2.1277,345249.43,366115.354
600158.SH,20260318,10.6,10.87,10.55,10.81,10.62,0.19,1.7891,325131.32,348006.353
600158.SH,20260317,11.03,11.05,10.58,10.62,11.02,-0.4,-3.6298,422632.33,455931.282
600158.SH,20260316,10.85,11.23,10.84,11.02,10.86,0.16,1.4733,568679.92,629494.494
600158.SH,20260313,11.1,11.29,10.81,10.86,11.15,-0.29,-2.6009,415812.23,458690.335
600158.SH,20260312,11.15,11.2,10.85,11.15,11.15,0.0,0.0,516037.72,568094.225
600158.SH,20260311,11.05,11.39,10.93,11.15,10.89,0.26,2.3875,724133.03,809994.568
600158.SH,20260310,10.74,11.09,10.74,10.89,10.68,0.21,1.9663,448264.28,487898.449
600158.SH,20260309,10.21,10.86,10.21,10.68,10.41,0.27,2.5937,563057.14,594646.339
600158.SH,20260306,10.1,10.52,10.09,10.41,10.1,0.31,3.0693,406810.72,422707.386
600158.SH,20260305,10.38,10.57,9.81,10.1,10.18,-0.08,-0.7859,533683.73,547840.205
600158.SH,20260304,10.16,10.38,10.1,10.18,10.34,-0.16,-1.5474,344493.24,351797.396
600158.SH,20260303,10.62,10.69,10.19,10.34,10.55,-0.21,-1.9905,548508.76,569599.069
600158.SH,20260302,10.38,11.1,10.35,10.55,10.55,0.0,0.0,606368.35,649612.249
