ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600488.SH,20260331,4.99,5.24,4.97,5.24,4.76,0.48,10.084,897795.95,466914.879
600488.SH,20260330,4.33,4.76,4.33,4.76,4.33,0.43,9.9307,699067.03,326920.726
600488.SH,20260327,3.94,4.33,3.92,4.33,3.94,0.39,9.8985,389815.26,166042.451
600488.SH,20260326,3.94,4.03,3.93,3.94,3.96,-0.02,-0.5051,74528.01,29643.52
600488.SH,20260325,3.9,3.97,3.86,3.96,3.89,0.07,1.7995,77864.0,30552.777
600488.SH,20260324,3.77,3.89,3.75,3.89,3.71,0.18,4.8518,98446.01,37593.959
600488.SH,20260323,3.96,3.96,3.68,3.71,4.0,-0.29,-7.25,162093.46,61802.092
600488.SH,20260320,4.12,4.15,3.99,4.0,4.12,-0.12,-2.9126,91218.0,37012.348
600488.SH,20260319,4.22,4.23,4.1,4.12,4.23,-0.11,-2.6005,83842.0,34857.576
600488.SH,20260318,4.19,4.23,4.14,4.23,4.17,0.06,1.4388,81798.0,34192.075
600488.SH,20260317,4.22,4.25,4.17,4.17,4.21,-0.04,-0.9501,60683.42,25580.192
600488.SH,20260316,4.22,4.26,4.18,4.21,4.22,-0.01,-0.237,62280.92,26261.966
600488.SH,20260313,4.2,4.25,4.16,4.22,4.19,0.03,0.716,99132.52,41814.3
600488.SH,20260312,4.18,4.22,4.17,4.19,4.19,0.0,0.0,63939.5,26820.399
600488.SH,20260311,4.19,4.2,4.16,4.19,4.19,0.0,0.0,63412.54,26488.846
600488.SH,20260310,4.18,4.2,4.16,4.19,4.18,0.01,0.2392,72990.77,30519.158
600488.SH,20260309,4.19,4.22,4.16,4.18,4.18,0.0,0.0,93170.0,39038.042
600488.SH,20260306,4.07,4.18,4.06,4.18,4.07,0.11,2.7027,88045.32,36420.497
600488.SH,20260305,4.06,4.09,4.04,4.07,4.03,0.04,0.9926,64120.5,26102.506
600488.SH,20260304,4.11,4.13,4.02,4.03,4.15,-0.12,-2.8916,125731.38,51124.753
600488.SH,20260303,4.17,4.21,4.13,4.15,4.17,-0.02,-0.4796,85539.0,35644.719
600488.SH,20260302,4.22,4.23,4.14,4.17,4.26,-0.09,-2.1127,115574.0,48294.892
