ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301079.SZ,20260331,37.0,44.76,37.0,44.76,37.3,7.46,20.0,182410.69,778569.388
301079.SZ,20260330,35.36,37.65,35.36,37.3,36.21,1.09,3.0102,60164.51,221875.885
301079.SZ,20260327,35.02,36.39,35.02,36.21,35.89,0.32,0.8916,33949.81,122024.812
301079.SZ,20260326,36.42,37.4,35.44,35.89,36.6,-0.71,-1.9399,51761.99,187598.366
301079.SZ,20260325,36.62,37.3,36.22,36.6,35.8,0.8,2.2346,55337.82,202974.379
301079.SZ,20260324,35.37,35.84,34.39,35.8,34.51,1.29,3.738,53119.58,187110.058
301079.SZ,20260323,35.31,36.5,34.35,34.51,36.44,-1.93,-5.2964,53483.85,189432.831
301079.SZ,20260320,38.2,38.45,36.3,36.44,38.0,-1.56,-4.1053,53166.06,196681.379
301079.SZ,20260319,38.5,38.88,37.57,38.0,39.3,-1.3,-3.3079,49252.12,187758.171
301079.SZ,20260318,38.2,39.38,37.86,39.3,38.23,1.07,2.7988,60142.36,232641.624
301079.SZ,20260317,39.91,41.38,38.2,38.23,39.88,-1.65,-4.1374,73825.0,290732.266
301079.SZ,20260316,38.85,41.88,38.85,39.88,38.58,1.3,3.3696,103065.19,415466.808
301079.SZ,20260313,40.3,40.31,38.55,38.58,40.51,-1.93,-4.7643,74953.46,293753.321
301079.SZ,20260312,43.0,43.29,40.51,40.51,42.94,-2.43,-5.6591,77493.14,320559.423
301079.SZ,20260311,44.8,45.2,42.7,42.94,44.54,-1.6,-3.5923,82580.5,360285.663
301079.SZ,20260310,43.51,44.99,43.01,44.54,43.01,1.53,3.5573,75744.46,335738.995
301079.SZ,20260309,42.61,43.66,41.7,43.01,43.86,-0.85,-1.938,75525.85,321625.689
301079.SZ,20260306,43.28,44.9,42.61,43.86,43.55,0.31,0.7118,83447.04,366430.816
301079.SZ,20260305,45.68,45.85,42.93,43.55,44.22,-0.67,-1.5152,101246.07,446516.544
301079.SZ,20260304,40.06,45.61,39.88,44.22,42.18,2.04,4.8364,122932.86,534445.61
301079.SZ,20260303,46.92,46.92,42.16,42.18,47.78,-5.6,-11.7204,154214.72,685617.139
301079.SZ,20260302,45.53,48.37,44.51,47.78,44.14,3.64,8.2465,239278.45,1112235.617
