序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
25,商用车,1.95,371838272.0,6.59,338517664.0,6.0,33320608.0,0.59,-148448592.0,-2.63,-223389664.0,-3.96,宇通客车
26,保险Ⅱ,-0.13,349195648.0,4.31,137015152.0,1.69,212180496.0,2.62,-247731344.0,-3.05,-101464336.0,-1.25,中国平安
27,保险Ⅲ,-0.13,349195648.0,4.31,137015152.0,1.69,212180496.0,2.62,-247731344.0,-3.05,-101464336.0,-1.25,中国平安
28,轻工制造,-1.21,344982336.0,1.58,705247024.0,3.22,-360264688.0,-1.65,-277525248.0,-1.27,-99641600.0,-0.46,顺灏股份
29,线缆部件及其他,-0.33,274993792.0,1.29,307041920.0,1.44,-32048128.0,-0.15,190276864.0,0.89,-487272960.0,-2.29,新能泰山
30,合成树脂,-0.97,272670048.0,6.11,340823968.0,7.63,-68153920.0,-1.53,-127797120.0,-2.86,-144872912.0,-3.25,神剑股份
31,航海装备Ⅲ,-0.83,262673120.0,3.81,71460720.0,1.04,191212400.0,2.78,33981824.0,0.49,-296654944.0,-4.31,海兰信
32,航海装备Ⅱ,-0.83,262673120.0,3.81,71460720.0,1.04,191212400.0,2.78,33981824.0,0.49,-296654944.0,-4.31,海兰信
33,能源及重型设备,-0.81,262112000.0,1.79,260791360.0,1.78,1320640.0,0.01,-298175744.0,-2.04,15040256.0,0.1,杰瑞股份
34,商用载客车,4.22,250799792.0,9.27,259497760.0,9.6,-8697968.0,-0.32,-31918640.0,-1.18,-218881152.0,-8.09,宇通客车
35,塑料,-1.38,233327584.0,1.27,537650528.0,2.92,-304322944.0,-1.65,-134626816.0,-0.73,-135290880.0,-0.74,神剑股份
36,白酒Ⅲ,-0.04,229340864.0,1.39,64961728.0,0.39,164379136.0,0.99,-184052992.0,-1.11,-45287712.0,-0.27,贵州茅台
37,白酒Ⅱ,-0.04,229340864.0,1.39,64961728.0,0.39,164379136.0,0.99,-184052992.0,-1.11,-45287712.0,-0.27,贵州茅台
38,白色家电,0.22,224084144.0,2.46,183936560.0,2.02,40147584.0,0.44,96440752.0,1.06,-320524896.0,-3.52,美的集团
39,工程机械器件,2.96,217657548.0,9.55,225992364.0,9.92,-8334816.0,-0.37,-74047424.0,-3.25,-134025904.0,-5.88,邵阳液压
40,体育Ⅱ,5.85,215021765.0,12.1,252369653.0,14.21,-37347888.0,-2.1,-100706752.0,-5.67,-114315008.0,-6.43,中体产业
41,体育Ⅲ,5.85,215021765.0,12.1,252369653.0,14.21,-37347888.0,-2.1,-100706752.0,-5.67,-114315008.0,-6.43,中体产业
42,娱乐用品,-0.17,205171996.0,6.48,183141644.0,5.78,22030352.0,0.7,-76559344.0,-2.42,-128612640.0,-4.06,舒华体育
43,文娱用品,-0.18,194327642.0,5.53,177285642.0,5.05,17042000.0,0.49,-81752688.0,-2.33,-112574960.0,-3.21,舒华体育
44,工程机械整机,-0.82,174999456.0,2.18,5665024.0,0.07,169334432.0,2.11,-112288720.0,-1.4,-62781296.0,-0.78,三一重工
45,空调,2.38,172529216.0,2.54,101292016.0,1.49,71237200.0,1.05,186612800.0,2.75,-359142016.0,-5.29,美的集团
