序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,封板资金,首次封板时间,最后封板时间,炸板次数,连板数
35,603657,春光科技,10.0,27.94,,142375599,3777209997.0,3777209997.0,3.8806509971618652,,,,1/1,,家电零部,27423110.0,104452,105310,1.0,1.0
36,002788,鹭燕医药,10.0,16.17,,1632465184,6173605762.170001,6282315621.120001,27.317588806152344,,,,1/1,,医药商业,57096270.0,104824,144006,1.0,1.0
37,605162,新中港,10.047392845153809,11.61,,363563968,4650768653.219999,4650768722.88,8.143401145935059,,,,1/1,,电力,96870600.0,104933,104933,0.0,1.0
38,300992,泰福泵业,20.0,41.88,,588926352,3245476612.0800004,3992804272.0800004,20.174928665161133,,,,1/1,,通用设备,64095246.0,111412,111412,0.0,1.0
39,000037,深南电A,9.966216087341309,13.02,,1019335312,4412584113.0,7847968947.84,24.37428092956543,,,,4/2,,电力,84228984.0,130945,130945,0.0,1.0
40,301008,宏昌科技,20.005674362182617,42.29,,1158767696,4899010365.86,5538435165.86,24.920867919921875,,,,2/2,,家电零部,123224009.0,131221,131221,0.0,2.0
41,600250,南京商旅,10.023492813110352,14.05,,823592416,4394719226.2,4394719282.400001,19.524700164794922,,,,1/1,,贸易Ⅱ,37925165.0,131623,132814,4.0,1.0
42,003033,征和工业,10.0,60.61,,297459568,4893872141.62,4954867500.0,6.425326824188232,,,,1/1,,摩托车及,107669361.0,131803,131803,0.0,1.0
43,002263,大东南,10.0,4.51,,1969953744,8471336401.0,8471404032.96,24.7474422454834,,,,4/3,,塑料,100264466.0,132045,132045,0.0,1.0
44,000913,钱江摩托,10.033002853393555,16.67,,549072944,8670158685.0,8778313711.68,6.512219429016113,,,,1/1,,摩托车及,56337932.0,132624,140039,4.0,1.0
45,000030,富奥股份,10.099010467529297,5.56,,276270288,9290239834.199999,9562148314.88,3.059433698654175,,,,1/1,,汽车零部,45705535.0,132700,132700,0.0,1.0
46,000678,襄阳轴承,10.008703231811523,12.64,,306939840,5809493114.08,5809493050.88,5.4558491706848145,,,,1/1,,汽车零部,69257985.0,133015,133015,0.0,1.0
47,301255,通力科技,20.0,29.76,,243220762,1133260800.0,4533043200.0,22.72686767578125,,,,1/1,,通用设备,45756000.0,133306,133306,0.0,1.0
48,600184,光电股份,9.976105690002441,18.41,,655146048,10728012685.88,10728012759.52,6.502164840698242,,,,1/1,,地面兵装,95099763.0,134625,134625,0.0,1.0
49,000070,特发信息,10.012360572814941,17.8,,2662710048,15818483565.6,16026136870.400002,17.728818893432617,,,,1/1,,通信设备,145646399.0,135048,135048,0.0,1.0
50,603660,苏州科达,10.056497573852539,9.74,,336991120,5566338859.04,5608156107.52,6.262819766998291,,,,1/1,,计算机设,131568114.0,140300,140300,0.0,1.0
51,605116,奥锐特,9.992515563964844,29.39,,384524832,11937725247.26,11937725188.48,3.401858329772949,,,,1/1,,化学制药,95253754.0,142530,142530,0.0,1.0
52,002580,圣阳股份,9.993753433227539,17.61,,1916010528,7965686268.0,7992632949.12,25.404220581054688,,,,1/1,,电池,372030215.0,143542,143542,0.0,1.0
53,002082,万邦德,10.018214225769043,30.2,,2008597952,16708238244.4,18473009491.2,12.739083290100098,,,,6/4,,化学制药,30816080.0,145042,145145,1.0,1.0
