ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600066.SH,20260331,35.86,35.86,35.3,35.86,32.6,3.26,10.0,334461.27,1199265.614
600066.SH,20260330,32.18,32.9,32.0,32.6,32.16,0.44,1.3682,210060.26,681286.349
600066.SH,20260327,32.68,33.03,32.16,32.16,32.7,-0.54,-1.6514,214469.47,696499.449
600066.SH,20260326,32.28,33.07,32.2,32.7,32.32,0.38,1.1757,222352.51,728908.444
600066.SH,20260325,32.53,32.6,31.8,32.32,32.12,0.2,0.6227,172197.77,553234.298
600066.SH,20260324,31.5,32.88,31.15,32.12,31.41,0.71,2.2604,310466.04,1002663.834
600066.SH,20260323,30.2,31.67,29.94,31.41,30.49,0.92,3.0174,304712.3,942526.033
600066.SH,20260320,31.11,31.2,30.45,30.49,31.11,-0.62,-1.9929,137971.41,423974.383
600066.SH,20260319,30.92,31.88,30.8,31.11,31.15,-0.04,-0.1284,148820.05,467471.92
600066.SH,20260318,31.13,31.42,30.38,31.15,31.18,-0.03,-0.0962,138028.53,426034.298
600066.SH,20260317,31.35,31.54,31.05,31.18,31.35,-0.17,-0.5423,136746.87,427700.034
600066.SH,20260316,30.64,32.01,30.19,31.35,30.65,0.7,2.2838,272962.6,857673.703
600066.SH,20260313,31.18,31.4,30.6,30.65,31.26,-0.61,-1.9514,152450.92,470674.148
600066.SH,20260312,30.83,31.4,30.52,31.26,30.82,0.44,1.4276,136707.08,426258.996
600066.SH,20260311,29.91,31.0,29.6,30.82,29.91,0.91,3.0425,202570.36,618037.574
600066.SH,20260310,29.45,30.03,29.36,29.91,29.44,0.47,1.5965,117966.19,351511.001
600066.SH,20260309,30.1,30.39,29.3,29.44,30.45,-1.01,-3.3169,187840.4,555183.334
600066.SH,20260306,30.76,30.79,29.81,30.45,31.08,-0.63,-2.027,171268.41,519111.435
600066.SH,20260305,30.3,31.24,30.09,31.08,29.39,1.69,5.7503,249774.6,770537.582
600066.SH,20260304,29.56,29.98,29.24,29.39,29.61,-0.22,-0.743,143428.66,423603.43
600066.SH,20260303,30.38,30.41,29.6,29.61,30.26,-0.65,-2.1481,109330.05,327863.765
600066.SH,20260302,29.59,30.38,29.27,30.26,29.69,0.57,1.9198,206770.84,623447.492
