ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605116.SH,20260331,26.65,29.39,26.6,29.39,26.72,2.67,9.9925,138177.78,384524.832
605116.SH,20260330,26.48,27.36,26.3,26.72,26.68,0.04,0.1499,90043.39,241230.008
605116.SH,20260327,24.76,26.98,24.76,26.68,25.02,1.66,6.6347,89966.0,237156.054
605116.SH,20260326,25.06,25.77,24.96,25.02,25.05,-0.03,-0.1198,30499.0,77273.898
605116.SH,20260325,25.06,25.35,24.96,25.05,25.0,0.05,0.2,31508.0,79195.974
605116.SH,20260324,24.66,25.17,24.51,25.0,24.38,0.62,2.5431,39913.45,99019.161
605116.SH,20260323,25.48,25.55,24.1,24.38,25.94,-1.56,-6.0139,56057.0,138854.173
605116.SH,20260320,25.72,26.54,25.72,25.94,25.95,-0.01,-0.0385,39860.0,104235.966
605116.SH,20260319,26.09,26.25,25.59,25.95,26.35,-0.4,-1.518,48342.0,125083.642
605116.SH,20260318,26.81,27.0,25.91,26.35,26.8,-0.45,-1.6791,66104.0,173795.226
605116.SH,20260317,26.51,27.84,26.3,26.8,26.51,0.29,1.0939,113274.0,306415.416
605116.SH,20260316,25.87,27.02,25.86,26.51,25.7,0.81,3.1518,69279.39,184020.888
605116.SH,20260313,25.58,26.26,25.45,25.7,25.63,0.07,0.2731,28370.0,73413.665
605116.SH,20260312,25.75,25.93,25.59,25.63,25.8,-0.17,-0.6589,22530.0,57942.366
605116.SH,20260311,26.13,26.2,25.74,25.8,26.12,-0.32,-1.2251,27861.0,72235.842
605116.SH,20260310,25.85,26.24,25.65,26.12,25.75,0.37,1.4369,35548.0,92320.504
605116.SH,20260309,25.28,25.87,25.05,25.75,25.52,0.23,0.9013,44233.0,113081.371
605116.SH,20260306,24.9,25.72,24.89,25.52,24.95,0.57,2.2846,33283.49,84842.439
605116.SH,20260305,24.79,25.13,24.7,24.95,24.66,0.29,1.176,25168.01,62723.766
605116.SH,20260304,24.86,25.35,24.54,24.66,25.0,-0.34,-1.36,25330.0,62728.489
605116.SH,20260303,25.55,25.9,24.83,25.0,25.53,-0.53,-2.076,42686.0,107761.45
605116.SH,20260302,26.3,26.6,25.5,25.53,26.54,-1.01,-3.8056,57082.0,147707.655
