ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603826.SH,20260331,24.8,27.67,24.61,27.67,25.15,2.52,10.0199,256739.04,696678.499
603826.SH,20260330,25.63,26.69,25.12,25.15,25.19,-0.04,-0.1588,163940.96,425155.365
603826.SH,20260327,24.93,25.7,24.65,25.19,25.25,-0.06,-0.2376,96494.8,244117.244
603826.SH,20260326,25.45,25.51,24.5,25.25,25.33,-0.08,-0.3158,74957.51,188275.65
603826.SH,20260325,24.44,26.48,24.38,25.33,24.35,0.98,4.0246,163766.76,421461.026
603826.SH,20260324,23.48,24.55,22.64,24.35,23.06,1.29,5.5941,154899.46,368111.586
603826.SH,20260323,22.61,23.96,22.5,23.06,22.97,0.09,0.3918,117039.8,271257.174
603826.SH,20260320,23.83,24.18,22.86,22.97,24.0,-1.03,-4.2917,66374.2,156877.851
603826.SH,20260319,24.18,24.5,23.43,24.0,24.17,-0.17,-0.7034,82069.96,196485.071
603826.SH,20260318,23.5,24.65,22.61,24.17,23.31,0.86,3.6894,121335.84,286694.859
603826.SH,20260317,24.05,24.16,23.3,23.31,24.16,-0.85,-3.5182,83067.4,196747.302
603826.SH,20260316,24.7,24.78,23.7,24.16,24.78,-0.62,-2.502,95566.31,230673.202
603826.SH,20260313,25.71,25.85,24.69,24.78,25.49,-0.71,-2.7854,119463.47,300773.845
603826.SH,20260312,24.15,26.36,24.13,25.49,24.14,1.35,5.5924,185440.29,473463.867
603826.SH,20260311,23.81,24.56,23.62,24.14,23.98,0.16,0.6672,130836.24,315789.165
603826.SH,20260310,23.42,24.35,23.09,23.98,23.43,0.55,2.3474,122243.26,290978.008
603826.SH,20260309,23.89,24.0,22.87,23.43,23.9,-0.47,-1.9665,150962.83,352993.902
603826.SH,20260306,21.94,24.05,21.8,23.9,22.02,1.88,8.5377,221176.28,513205.551
603826.SH,20260305,21.66,23.23,21.12,22.02,21.23,0.79,3.7211,252289.27,559705.132
603826.SH,20260304,20.16,21.47,19.61,21.23,19.89,1.34,6.7371,194111.81,403143.639
603826.SH,20260303,21.0,21.0,19.84,19.89,20.69,-0.8,-3.8666,114068.52,231611.389
603826.SH,20260302,20.41,21.16,20.41,20.69,20.67,0.02,0.0968,117260.38,242642.007
