代码,名称,涨停统计,流通市值,换手率,连板数
000631,顺发恒能,1/1,9821000362.949999,5.006242275238037,1
600066,宇通客车,1/1,79391860536.78,1.5107066631317139,1
600894,广日股份,1/1,8085755227.55,1.7912741899490356,1
002578,闽发铝业,2/2,4038852411.09,9.243043899536133,2
600488,津药药业,3/3,5721486203.2,8.222428321838379,3
603039,泛微网络,1/1,11139100744.75,2.4783668518066406,1
002361,神剑股份,4/4,13350529236.0,23.703197479248047,4
002454,松芝股份,1/1,5792982102.6,2.2934348583221436,1
000008,神州高铁,2/2,8882291033.04,5.955018520355225,2
002634,棒杰股份,2/2,3991839969.72,7.904372215270996,2
002542,中化岩土,1/1,5768769811.5199995,2.1127877235412598,1
300834,星辉环材,1/1,5811288725.8,5.921833038330078,1
002565,顺灏股份,1/1,18029646113.22,11.064379692077637,1
000993,闽东电力,1/1,7172282899.32,8.653043746948242,1
002821,凯莱英,1/1,35118948150.659996,5.363607883453369,1
000927,中国铁物,5/3,20208170940.54,3.0674612522125244,1
601908,京运通,4/2,12097160333.609999,8.151227951049805,1
000592,平潭发展,5/3,24474881498.219997,23.249568939208984,2
002800,天顺股份,1/1,3387080060.06,7.174747467041016,1
002218,拓日新能,1/1,9649319865.57,22.45372200012207,1
000863,三湘印象,1/1,6644244036.78,3.2577943801879883,1
002342,巨力索具,1/1,13747536000.0,18.451574325561523,1
605299,舒华体育,12/6,8728801735.59,10.17412281036377,1
002995,天地在线,3/2,2772208349.28,11.848085403442383,1
000720,新能泰山,6/5,6860662377.66,15.417572021484375,1
002560,通达股份,1/1,4887179461.58,12.49411392211914,1
301079,邵阳液压,1/1,3111947907.24,26.236629486083984,1
600158,中体产业,1/1,11504561673.33,13.282675743103027,1
001239,永达股份,1/1,1808040000.0,6.52692985534668,1
603826,坤彩科技,1/1,18129384000.0,3.9184834957122803,1
301048,金鹰重工,1/1,6981334206.0,9.212003707885742,1
600502,安徽建工,2/2,9664086070.94,9.955951690673828,2
600528,中铁工业,1/1,20371628061.96,6.704940319061279,1
600495,晋西车轴,1/1,5956381067.98,5.946409702301025,1
603657,春光科技,1/1,3777209997.0,3.8806509971618652,1
002788,鹭燕医药,1/1,6173605762.170001,27.317588806152344,1
605162,新中港,1/1,4650768653.219999,8.143401145935059,1
300992,泰福泵业,1/1,3245476612.0800004,20.174928665161133,1
000037,深南电A,4/2,4412584113.0,24.37428092956543,1
301008,宏昌科技,2/2,4899010365.86,24.920867919921875,2
600250,南京商旅,1/1,4394719226.2,19.524700164794922,1
003033,征和工业,1/1,4893872141.62,6.425326824188232,1
002263,大东南,4/3,8471336401.0,24.7474422454834,1
000913,钱江摩托,1/1,8670158685.0,6.512219429016113,1
000030,富奥股份,1/1,9290239834.199999,3.059433698654175,1
000678,襄阳轴承,1/1,5809493114.08,5.4558491706848145,1
301255,通力科技,1/1,1133260800.0,22.72686767578125,1
600184,光电股份,1/1,10728012685.88,6.502164840698242,1
000070,特发信息,1/1,15818483565.6,17.728818893432617,1
603660,苏州科达,1/1,5566338859.04,6.262819766998291,1
605116,奥锐特,1/1,11937725247.26,3.401858329772949,1
002580,圣阳股份,1/1,7965686268.0,25.404220581054688,1
002082,万邦德,6/4,16708238244.4,12.739083290100098,1
