ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300992.SZ,20260331,33.51,41.88,32.6,41.88,34.9,6.98,20.0,156344.93,588926.354
300992.SZ,20260323,33.11,37.36,33.11,34.9,32.87,2.03,6.1758,101081.72,356258.156
300992.SZ,20260320,31.56,33.63,30.75,32.87,30.95,1.92,6.2036,61888.0,199811.654
300992.SZ,20260319,30.49,32.57,30.05,30.95,31.05,-0.1,-0.3221,38954.0,122691.25
300992.SZ,20260318,30.17,31.55,30.17,31.05,30.25,0.8,2.6446,26237.35,81182.59
300992.SZ,20260317,31.87,31.93,29.98,30.25,31.66,-1.41,-4.4536,22370.0,68947.674
300992.SZ,20260316,32.63,32.99,31.17,31.66,32.82,-1.16,-3.5344,34733.35,110572.236
300992.SZ,20260313,33.5,34.15,32.12,32.82,33.48,-0.66,-1.9713,43467.35,144228.442
300992.SZ,20260312,33.88,34.0,32.88,33.48,33.58,-0.1,-0.2978,28645.63,95614.67
300992.SZ,20260311,32.6,34.0,32.31,33.58,32.61,0.97,2.9745,60999.25,203394.211
300992.SZ,20260310,30.38,33.1,30.02,32.61,30.28,2.33,7.6948,50743.0,163130.776
300992.SZ,20260309,30.28,31.0,24.56,30.28,30.43,-0.15,-0.4929,31888.88,95888.829
300992.SZ,20260306,29.47,30.55,29.0,30.43,29.46,0.97,3.2926,16802.24,50484.904
300992.SZ,20260305,29.81,30.33,29.14,29.46,29.28,0.18,0.6148,14787.0,43837.023
300992.SZ,20260304,29.52,29.74,29.06,29.28,29.66,-0.38,-1.2812,15795.0,46361.618
300992.SZ,20260303,31.72,31.85,29.2,29.66,31.1,-1.44,-4.6302,21918.97,66338.621
300992.SZ,20260302,31.18,32.0,30.71,31.1,31.88,-0.78,-2.4467,20838.24,65381.145
