ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603657.SH,20260331,25.87,27.94,25.5,27.94,25.4,2.54,10.0,52462.54,142375.599
603657.SH,20260330,25.1,25.4,24.87,25.4,25.38,0.02,0.0788,10556.0,26533.156
603657.SH,20260327,25.03,25.47,24.8,25.38,25.04,0.34,1.3578,9585.0,24230.038
603657.SH,20260326,25.35,25.63,24.85,25.04,25.24,-0.2,-0.7924,11062.0,27862.004
603657.SH,20260325,25.44,25.58,25.08,25.24,25.33,-0.09,-0.3553,10888.0,27561.417
603657.SH,20260324,24.9,25.33,24.4,25.33,24.07,1.26,5.2347,18882.0,46871.707
603657.SH,20260323,24.33,25.55,23.81,24.07,25.58,-1.51,-5.903,23871.0,58461.726
603657.SH,20260320,26.63,26.82,25.5,25.58,26.62,-1.04,-3.9068,15867.0,41283.222
603657.SH,20260319,27.37,27.79,26.5,26.62,27.73,-1.11,-4.0029,14266.0,38475.992
603657.SH,20260318,27.47,27.77,27.31,27.73,27.46,0.27,0.9832,8717.0,23998.907
603657.SH,20260317,28.3,28.38,27.4,27.46,28.14,-0.68,-2.4165,10316.0,28645.047
603657.SH,20260316,28.37,28.65,27.99,28.14,28.21,-0.07,-0.2481,13541.99,38325.053
603657.SH,20260313,27.79,28.74,27.51,28.21,27.78,0.43,1.5479,15439.0,43610.781
603657.SH,20260312,28.51,28.67,27.71,27.78,28.51,-0.73,-2.5605,13063.4,36669.334
603657.SH,20260311,28.98,29.58,28.5,28.51,28.98,-0.47,-1.6218,19808.0,57583.256
603657.SH,20260310,28.3,29.02,28.29,28.98,28.22,0.76,2.6931,15941.2,45962.709
603657.SH,20260309,28.34,28.45,27.7,28.22,28.43,-0.21,-0.7387,15783.0,44191.723
603657.SH,20260306,27.66,28.51,27.58,28.43,27.67,0.76,2.7467,17677.0,50003.958
603657.SH,20260305,27.16,28.15,27.0,27.67,26.61,1.06,3.9835,21619.0,59763.925
603657.SH,20260304,27.1,27.45,26.29,26.61,27.37,-0.76,-2.7768,22303.0,59609.609
603657.SH,20260303,27.77,28.42,27.3,27.37,27.77,-0.4,-1.4404,18546.0,51692.888
603657.SH,20260302,27.9,28.8,27.75,27.77,28.93,-1.16,-4.0097,22570.0,63344.553
