ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600502.SH,20260331,5.43,5.63,5.35,5.63,5.12,0.51,9.9609,1708972.96,948716.166
600502.SH,20260330,5.07,5.12,5.02,5.12,4.65,0.47,10.1075,620773.95,317218.662
600502.SH,20260327,4.7,4.74,4.62,4.65,4.73,-0.08,-1.6913,234233.62,109281.117
600502.SH,20260326,4.77,4.8,4.72,4.73,4.78,-0.05,-1.046,204595.8,97377.172
600502.SH,20260325,4.58,4.8,4.56,4.78,4.58,0.2,4.3668,312698.76,147428.35
600502.SH,20260324,4.55,4.6,4.47,4.58,4.48,0.1,2.2321,232650.26,105654.564
600502.SH,20260323,4.7,4.71,4.43,4.48,4.72,-0.24,-5.0847,414907.64,188929.073
600502.SH,20260320,4.83,4.86,4.7,4.72,4.83,-0.11,-2.2774,234052.6,111677.805
600502.SH,20260319,4.85,4.9,4.81,4.83,4.88,-0.05,-1.0246,189965.07,92245.035
600502.SH,20260318,4.93,4.94,4.85,4.88,4.92,-0.04,-0.813,216904.66,106031.779
600502.SH,20260317,4.94,4.98,4.91,4.92,4.95,-0.03,-0.6061,190058.45,94108.107
600502.SH,20260316,4.98,5.03,4.91,4.95,5.0,-0.05,-1.0,297253.92,147232.15
600502.SH,20260313,4.98,5.05,4.96,5.0,4.96,0.04,0.8065,308892.53,154830.543
600502.SH,20260312,4.99,5.01,4.93,4.96,4.99,-0.03,-0.6012,294421.55,146336.511
600502.SH,20260311,4.89,5.01,4.86,4.99,4.89,0.1,2.045,311683.33,154388.291
600502.SH,20260310,4.84,4.89,4.8,4.89,4.84,0.05,1.0331,225394.69,109554.855
600502.SH,20260309,4.83,4.85,4.78,4.84,4.81,0.03,0.6237,251010.9,120904.972
600502.SH,20260306,4.73,4.83,4.71,4.81,4.73,0.08,1.6913,240672.14,115276.342
600502.SH,20260305,4.72,4.76,4.7,4.73,4.69,0.04,0.8529,222042.88,105106.769
600502.SH,20260304,4.76,4.78,4.68,4.69,4.77,-0.08,-1.6771,252020.58,119125.547
600502.SH,20260303,4.82,4.85,4.75,4.77,4.81,-0.04,-0.8316,247237.69,118534.546
600502.SH,20260302,4.78,4.83,4.76,4.81,4.83,-0.02,-0.4141,206192.31,98970.937
