ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600528.SH,20260331,8.36,9.17,8.33,9.17,8.34,0.83,9.952,1489537.05,1327340.774
600528.SH,20260330,7.65,8.54,7.61,8.34,7.76,0.58,7.4742,672345.81,557738.712
600528.SH,20260327,7.74,7.8,7.7,7.76,7.79,-0.03,-0.3851,117697.59,91273.319
600528.SH,20260326,7.88,7.93,7.74,7.79,7.87,-0.08,-1.0165,135946.09,106346.511
600528.SH,20260325,7.69,7.94,7.66,7.87,7.67,0.2,2.6076,178706.37,139804.275
600528.SH,20260324,7.63,7.68,7.5,7.67,7.46,0.21,2.815,194160.86,147509.073
600528.SH,20260323,7.88,7.88,7.41,7.46,7.97,-0.51,-6.399,367606.28,280470.805
600528.SH,20260320,8.1,8.16,7.97,7.97,8.1,-0.13,-1.6049,211327.47,169735.343
600528.SH,20260319,8.25,8.29,8.08,8.1,8.29,-0.19,-2.2919,219030.01,178796.099
600528.SH,20260318,8.45,8.47,8.23,8.29,8.44,-0.15,-1.7773,270737.99,225147.629
600528.SH,20260317,8.54,8.61,8.41,8.44,8.51,-0.07,-0.8226,194975.72,165907.914
600528.SH,20260316,8.73,8.78,8.47,8.51,8.72,-0.21,-2.4083,323482.0,277769.921
600528.SH,20260313,8.68,8.88,8.67,8.72,8.71,0.01,0.1148,299937.17,263751.579
600528.SH,20260312,8.74,8.75,8.64,8.71,8.73,-0.02,-0.2291,262808.0,228649.432
600528.SH,20260311,8.57,8.77,8.47,8.73,8.57,0.16,1.867,383910.22,332940.774
600528.SH,20260310,8.52,8.62,8.46,8.57,8.49,0.08,0.9423,194481.6,166328.386
600528.SH,20260309,8.52,8.55,8.42,8.49,8.55,-0.06,-0.7018,182467.0,154788.927
600528.SH,20260306,8.33,8.57,8.29,8.55,8.33,0.22,2.6411,227094.15,193039.679
600528.SH,20260305,8.35,8.44,8.3,8.33,8.28,0.05,0.6039,140844.25,117878.652
600528.SH,20260304,8.39,8.45,8.28,8.28,8.4,-0.12,-1.4286,186044.34,155747.5
600528.SH,20260303,8.5,8.56,8.37,8.4,8.49,-0.09,-1.0601,242634.0,204950.353
600528.SH,20260302,8.36,8.54,8.34,8.49,8.48,0.01,0.1179,234762.99,198922.745
