ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601908.SH,20260331,4.49,5.01,4.4,5.01,4.55,0.46,10.1099,1968197.9,964440.248
601908.SH,20260330,4.74,4.84,4.36,4.55,4.84,-0.29,-5.9917,3234330.18,1465739.067
601908.SH,20260327,5.03,5.35,4.78,4.84,5.03,-0.19,-3.7773,4405513.15,2206310.308
601908.SH,20260326,4.5,5.03,4.46,5.03,4.57,0.46,10.0656,2775281.51,1331663.754
601908.SH,20260325,4.45,4.66,4.36,4.57,4.5,0.07,1.5556,2551546.21,1153390.881
601908.SH,20260324,4.33,4.53,4.23,4.5,4.37,0.13,2.9748,2696052.61,1185199.616
601908.SH,20260323,4.08,4.43,4.06,4.37,4.15,0.22,5.3012,2546975.59,1095494.888
601908.SH,20260320,4.13,4.29,4.01,4.15,4.13,0.02,0.4843,1285281.58,534112.362
601908.SH,20260319,4.16,4.23,4.1,4.13,4.17,-0.04,-0.9592,865327.43,361002.584
601908.SH,20260318,4.2,4.31,4.13,4.17,4.24,-0.07,-1.6509,989095.19,416867.699
601908.SH,20260317,4.24,4.32,4.22,4.24,4.24,0.0,0.0,1094178.23,466901.8
601908.SH,20260316,4.18,4.29,4.11,4.24,4.17,0.07,1.6787,1004808.0,421971.039
601908.SH,20260313,4.25,4.29,4.16,4.17,4.25,-0.08,-1.8824,867775.0,365760.343
601908.SH,20260312,4.15,4.32,4.14,4.25,4.16,0.09,2.1635,1169663.0,495456.293
601908.SH,20260311,4.09,4.2,4.03,4.16,4.09,0.07,1.7115,1052303.7,436077.497
601908.SH,20260310,4.07,4.12,4.04,4.09,4.08,0.01,0.2451,657605.0,268601.219
601908.SH,20260309,4.04,4.1,4.02,4.08,4.06,0.02,0.4926,708773.59,288514.856
601908.SH,20260306,4.0,4.12,3.96,4.06,4.03,0.03,0.7444,815319.52,330479.949
601908.SH,20260305,3.95,4.05,3.94,4.03,3.9,0.13,3.3333,884996.49,354586.173
601908.SH,20260304,3.92,3.99,3.87,3.9,3.94,-0.04,-1.0152,729589.44,286209.412
601908.SH,20260303,4.01,4.11,3.93,3.94,4.02,-0.08,-1.99,968168.75,387487.078
601908.SH,20260302,4.03,4.13,3.98,4.02,4.11,-0.09,-2.1898,835481.63,336939.194
