ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300834.SZ,20260331,30.18,30.2,28.01,30.2,25.17,5.03,19.9841,113951.93,341444.593
300834.SZ,20260330,24.32,25.21,24.16,25.17,24.58,0.59,2.4003,32383.91,79879.334
300834.SZ,20260327,22.6,25.1,22.53,24.58,22.85,1.73,7.5711,32067.02,77327.282
300834.SZ,20260326,23.08,23.29,22.68,22.85,23.09,-0.24,-1.0394,10492.0,24042.425
300834.SZ,20260325,22.75,23.3,22.5,23.09,22.66,0.43,1.8976,14083.87,32484.393
300834.SZ,20260324,22.22,22.66,21.85,22.66,21.83,0.83,3.8021,17493.19,38906.041
300834.SZ,20260323,23.52,23.55,21.61,21.83,23.66,-1.83,-7.7346,28862.73,64909.348
300834.SZ,20260320,24.75,24.88,23.63,23.66,24.52,-0.86,-3.5073,17890.0,43195.3
300834.SZ,20260319,25.11,25.36,24.42,24.52,25.21,-0.69,-2.737,15722.73,39079.908
300834.SZ,20260318,25.09,25.29,24.83,25.21,24.87,0.34,1.3671,12995.74,32600.098
300834.SZ,20260317,25.68,25.86,24.87,24.87,25.68,-0.81,-3.1542,16264.01,41119.305
300834.SZ,20260316,25.66,25.83,25.42,25.68,25.72,-0.04,-0.1555,18796.76,48123.551
300834.SZ,20260313,25.59,26.18,25.3,25.72,25.51,0.21,0.8232,28742.1,74354.947
300834.SZ,20260312,25.71,25.91,25.22,25.51,25.3,0.21,0.83,26394.4,67655.022
300834.SZ,20260311,25.59,25.72,25.2,25.3,25.59,-0.29,-1.1333,22634.0,57505.679
300834.SZ,20260310,25.06,25.79,25.06,25.59,25.08,0.51,2.0335,26343.0,67149.131
300834.SZ,20260309,24.73,26.64,24.51,25.08,24.73,0.35,1.4153,41133.11,104733.737
300834.SZ,20260306,23.97,24.73,23.8,24.73,23.99,0.74,3.0846,15756.09,38609.596
300834.SZ,20260305,23.72,24.1,23.72,23.99,23.48,0.51,2.1721,15876.28,37925.206
300834.SZ,20260304,23.49,23.76,23.22,23.48,23.49,-0.01,-0.0426,17132.0,40219.929
300834.SZ,20260303,24.32,24.5,23.44,23.49,24.33,-0.84,-3.4525,25122.7,60043.704
300834.SZ,20260302,25.21,25.49,24.2,24.33,25.67,-1.34,-5.2201,33442.44,82378.165
