ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260331,11.0,11.18,10.99,11.08,10.99,0.09,0.8189,1164565.34,1294675.716
000001.SZ,20260330,10.98,11.05,10.94,10.99,11.02,-0.03,-0.2722,632522.1,696208.267
000001.SZ,20260327,10.91,11.05,10.83,11.02,10.94,0.08,0.7313,884128.62,972821.27
000001.SZ,20260326,10.91,11.05,10.9,10.94,10.94,0.0,0.0,827664.09,909199.431
000001.SZ,20260325,10.89,10.95,10.79,10.94,10.88,0.06,0.5515,744779.91,809739.89
000001.SZ,20260324,10.52,10.89,10.52,10.88,10.45,0.43,4.1148,1622251.27,1744746.708
000001.SZ,20260323,10.68,10.68,10.43,10.45,10.77,-0.32,-2.9712,1580088.33,1666328.348
000001.SZ,20260320,10.87,10.94,10.76,10.77,10.88,-0.11,-1.011,834082.56,903819.004
000001.SZ,20260319,10.92,10.97,10.86,10.88,10.96,-0.08,-0.7299,624211.95,681086.519
000001.SZ,20260318,11.04,11.04,10.91,10.96,11.03,-0.07,-0.6346,791079.4,867711.25
000001.SZ,20260317,10.91,11.07,10.9,11.03,10.92,0.11,1.0073,1076656.81,1187565.492
000001.SZ,20260316,10.93,10.97,10.88,10.92,10.93,-0.01,-0.0915,715603.01,782089.441
000001.SZ,20260313,10.93,11.0,10.87,10.93,10.94,-0.01,-0.0914,841939.15,920839.356
000001.SZ,20260312,10.87,10.96,10.85,10.94,10.89,0.05,0.4591,754905.58,824171.954
000001.SZ,20260311,10.79,10.9,10.77,10.89,10.81,0.08,0.7401,720534.64,781041.009
000001.SZ,20260310,10.77,10.81,10.73,10.81,10.76,0.05,0.4647,790111.68,850573.536
000001.SZ,20260309,10.79,10.82,10.74,10.76,10.82,-0.06,-0.5545,835892.38,900716.851
000001.SZ,20260306,10.78,10.84,10.77,10.82,10.81,0.01,0.0925,476576.8,514733.55
000001.SZ,20260305,10.72,10.84,10.7,10.81,10.71,0.1,0.9337,712641.18,768553.598
000001.SZ,20260304,10.84,10.84,10.67,10.71,10.88,-0.17,-1.5625,1089713.96,1167995.856
000001.SZ,20260303,10.85,10.95,10.8,10.88,10.85,0.03,0.2765,1028694.83,1119402.076
000001.SZ,20260302,10.85,10.89,10.77,10.85,10.9,-0.05,-0.4587,838873.55,908747.812
