ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301255.SZ,20260331,24.4,29.76,24.4,29.76,24.8,4.96,20.0,86543.91,243220.762
301255.SZ,20260330,24.12,24.8,24.12,24.8,24.42,0.38,1.5561,8990.2,22053.77
301255.SZ,20260327,24.03,24.6,23.9,24.42,24.27,0.15,0.618,6909.95,16829.043
301255.SZ,20260326,24.9,24.9,24.15,24.27,24.73,-0.46,-1.8601,9263.19,22713.762
301255.SZ,20260325,24.71,25.05,24.55,24.73,24.4,0.33,1.3525,11129.2,27629.033
301255.SZ,20260324,23.8,24.4,23.47,24.4,23.41,0.99,4.229,11833.55,28329.075
301255.SZ,20260323,24.91,24.92,23.21,23.41,24.97,-1.56,-6.2475,17065.0,40981.296
301255.SZ,20260320,25.76,26.03,24.95,24.97,25.63,-0.66,-2.5751,11436.98,29137.096
301255.SZ,20260319,26.2,26.24,25.48,25.63,26.35,-0.72,-2.7324,8737.78,22560.709
301255.SZ,20260318,25.94,26.39,25.82,26.35,25.94,0.41,1.5806,7601.12,19816.667
301255.SZ,20260317,26.47,26.66,25.9,25.94,26.35,-0.41,-1.556,9487.2,24964.934
301255.SZ,20260316,26.32,26.49,26.12,26.35,26.26,0.09,0.3427,8674.35,22799.648
301255.SZ,20260313,26.31,26.78,26.1,26.26,26.32,-0.06,-0.228,8408.4,22267.982
301255.SZ,20260312,26.94,27.07,26.27,26.32,26.89,-0.57,-2.1197,13009.07,34586.58
301255.SZ,20260311,27.72,27.81,26.88,26.89,27.39,-0.5,-1.8255,12637.6,34534.305
301255.SZ,20260310,26.48,27.48,26.42,27.39,26.25,1.14,4.3429,15372.28,41694.247
301255.SZ,20260309,26.45,26.83,26.01,26.25,26.48,-0.23,-0.8686,12990.99,34147.24
301255.SZ,20260306,26.2,26.55,25.85,26.48,26.2,0.28,1.0687,9000.93,23755.414
301255.SZ,20260305,26.1,26.5,25.73,26.2,25.66,0.54,2.1044,11477.32,30131.505
301255.SZ,20260304,25.76,26.11,25.29,25.66,26.02,-0.36,-1.3836,14007.34,35961.021
301255.SZ,20260303,27.08,27.49,25.98,26.02,27.08,-1.06,-3.9143,18233.93,48649.731
301255.SZ,20260302,28.31,28.35,27.06,27.08,28.57,-1.49,-5.2153,18668.2,51280.962
