ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002202.SZ,20260331,27.75,27.98,26.0,26.3,27.72,-1.42,-5.1227,2631420.62,7121209.52
002202.SZ,20260330,27.46,28.36,27.46,27.72,27.45,0.27,0.9836,1939898.86,5414551.196
002202.SZ,20260327,27.4,27.95,27.05,27.45,28.13,-0.68,-2.4173,1468402.26,4039467.188
002202.SZ,20260326,28.61,28.75,27.38,28.13,28.31,-0.18,-0.6358,2113750.5,5946385.535
002202.SZ,20260325,27.85,28.78,27.83,28.31,27.58,0.73,2.6468,1977757.95,5607516.975
002202.SZ,20260324,28.08,28.23,27.04,27.58,27.41,0.17,0.6202,2044647.97,5646815.712
002202.SZ,20260323,28.4,29.08,27.3,27.41,29.2,-1.79,-6.1301,2435663.87,6853876.678
002202.SZ,20260320,29.9,30.39,29.15,29.2,29.81,-0.61,-2.0463,2412636.7,7170964.098
002202.SZ,20260319,30.0,31.17,29.65,29.81,31.0,-1.19,-3.8387,3161139.05,9581179.57
002202.SZ,20260318,28.56,31.41,28.2,31.0,28.55,2.45,8.5814,4543151.19,13679729.835
002202.SZ,20260317,30.01,30.7,28.5,28.55,31.01,-2.46,-7.9329,3216178.86,9517518.28
002202.SZ,20260316,31.9,33.3,29.39,31.01,31.43,-0.42,-1.3363,4496377.48,14402035.939
002202.SZ,20260313,31.35,32.68,31.0,31.43,31.29,0.14,0.4474,3941956.05,12534772.376
002202.SZ,20260312,29.94,33.0,29.15,31.29,30.24,1.05,3.4722,4781429.07,14690731.957
002202.SZ,20260311,28.51,31.0,27.82,30.24,28.48,1.76,6.1798,4343929.23,12789875.619
002202.SZ,20260310,28.59,29.2,28.23,28.48,28.47,0.01,0.0351,2010058.73,5763492.941
002202.SZ,20260309,27.7,28.58,27.5,28.47,28.47,0.0,0.0,1972761.9,5538672.035
002202.SZ,20260306,27.88,28.98,27.72,28.47,28.0,0.47,1.6786,2465203.17,7030157.732
002202.SZ,20260305,27.6,28.15,27.11,28.0,27.01,0.99,3.6653,2415126.72,6698631.899
002202.SZ,20260304,25.87,27.98,25.87,27.01,26.33,0.68,2.5826,2119125.26,5751431.236
002202.SZ,20260303,28.12,28.25,26.26,26.33,28.11,-1.78,-6.3323,2601842.89,7017266.616
002202.SZ,20260302,28.08,29.58,28.07,28.11,28.45,-0.34,-1.1951,3120822.15,8961568.263
