ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603660.SH,20260331,8.83,9.74,8.83,9.74,8.85,0.89,10.0565,357915.58,336991.116
603660.SH,20260330,8.75,8.94,8.71,8.85,8.91,-0.06,-0.6734,88756.38,78553.738
603660.SH,20260327,8.8,9.1,8.68,8.91,8.8,0.11,1.25,108637.57,96068.921
603660.SH,20260326,9.08,9.16,8.74,8.8,9.08,-0.28,-3.0837,114676.92,102049.773
603660.SH,20260325,9.07,9.29,9.01,9.08,9.09,-0.01,-0.11,146686.99,133782.565
603660.SH,20260324,9.19,9.23,8.86,9.09,9.01,0.08,0.8879,147616.89,133723.262
603660.SH,20260323,9.4,9.46,8.9,9.01,9.63,-0.62,-6.4382,171626.69,157748.862
603660.SH,20260320,10.18,10.28,9.61,9.63,10.17,-0.54,-5.3097,213641.75,210334.262
603660.SH,20260319,9.6,10.5,9.53,10.17,9.71,0.46,4.7374,421467.87,430207.101
603660.SH,20260318,9.28,9.74,9.16,9.71,9.26,0.45,4.8596,147480.74,138916.371
603660.SH,20260317,9.46,9.52,9.22,9.26,9.46,-0.2,-2.1142,99024.83,92758.909
603660.SH,20260316,9.47,9.49,9.3,9.46,9.5,-0.04,-0.4211,99682.32,93450.046
603660.SH,20260313,9.84,9.86,9.39,9.5,9.79,-0.29,-2.9622,171715.1,163662.173
603660.SH,20260312,9.96,10.09,9.78,9.79,9.97,-0.18,-1.8054,104630.43,103237.261
603660.SH,20260311,10.28,10.28,9.96,9.97,10.27,-0.3,-2.9211,150628.58,151815.357
603660.SH,20260310,10.15,10.32,10.11,10.27,10.08,0.19,1.8849,153057.49,156391.527
603660.SH,20260309,9.98,10.22,9.58,10.08,9.99,0.09,0.9009,197103.38,194649.241
603660.SH,20260306,10.0,10.15,9.97,9.99,10.03,-0.04,-0.3988,120321.88,120998.824
603660.SH,20260305,10.21,10.25,9.98,10.03,10.09,-0.06,-0.5946,131179.81,132498.128
603660.SH,20260304,9.88,10.17,9.73,10.09,9.88,0.21,2.1255,129142.74,128820.586
603660.SH,20260303,10.03,10.16,9.81,9.88,10.07,-0.19,-1.8868,172691.12,171557.033
603660.SH,20260302,9.99,10.4,9.94,10.07,10.11,-0.04,-0.3956,161342.67,163341.004
