ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600184.SH,20260331,16.41,18.41,16.17,18.41,16.74,1.67,9.9761,378899.0,655146.051
600184.SH,20260330,16.2,17.01,15.98,16.74,16.37,0.37,2.2602,207777.69,342519.43
600184.SH,20260327,15.7,16.58,15.65,16.37,15.96,0.41,2.5689,168867.9,274986.814
600184.SH,20260326,16.53,16.73,15.92,15.96,16.9,-0.94,-5.5621,259515.38,419566.046
600184.SH,20260325,16.31,17.44,16.31,16.9,15.86,1.04,6.5574,405564.57,688223.53
600184.SH,20260324,14.82,15.86,14.54,15.86,14.42,1.44,9.9861,178937.39,270696.122
600184.SH,20260323,15.05,15.22,14.32,14.42,15.46,-1.04,-6.727,123867.15,182894.477
600184.SH,20260320,15.86,16.03,15.43,15.46,15.71,-0.25,-1.5913,92914.8,145891.905
600184.SH,20260319,16.06,16.13,15.65,15.71,16.31,-0.6,-3.6787,99198.05,157114.317
600184.SH,20260318,16.61,16.64,16.05,16.31,16.62,-0.31,-1.8652,116837.21,189822.094
600184.SH,20260317,17.15,17.24,16.61,16.62,17.15,-0.53,-3.0904,82187.7,138880.912
600184.SH,20260316,17.12,17.21,16.8,17.15,17.21,-0.06,-0.3486,79187.0,134522.63
600184.SH,20260313,17.77,17.8,17.17,17.21,17.89,-0.68,-3.801,117797.3,205598.688
600184.SH,20260312,18.47,18.49,17.86,17.89,18.4,-0.51,-2.7717,120499.48,217977.35
600184.SH,20260311,18.5,18.83,18.38,18.4,18.37,0.03,0.1633,128281.16,238033.162
600184.SH,20260310,18.1,18.49,18.08,18.37,18.02,0.35,1.9423,97074.18,178209.4
600184.SH,20260309,18.5,18.56,17.76,18.02,18.6,-0.58,-3.1183,129746.72,233965.96
600184.SH,20260306,18.92,18.92,18.4,18.6,18.96,-0.36,-1.8987,103614.06,193244.579
600184.SH,20260305,18.88,19.3,18.8,18.96,18.82,0.14,0.7439,147979.52,281513.738
600184.SH,20260304,18.28,18.92,18.15,18.82,18.53,0.29,1.565,127411.75,237719.695
600184.SH,20260303,19.31,19.41,18.48,18.53,19.41,-0.88,-4.5337,195639.65,370323.784
600184.SH,20260302,19.6,19.72,19.24,19.41,19.28,0.13,0.6743,246238.23,478987.804
