ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603039.SH,20260331,42.47,43.45,41.62,43.45,39.5,3.95,10.0,63536.89,274447.41
603039.SH,20260330,38.8,39.52,38.62,39.5,39.43,0.07,0.1775,24868.0,97275.76
603039.SH,20260327,38.4,39.44,38.37,39.43,39.04,0.39,0.999,23698.47,92718.167
603039.SH,20260326,39.58,39.9,38.78,39.04,39.76,-0.72,-1.8109,26532.51,104107.459
603039.SH,20260325,38.95,39.92,38.94,39.76,38.97,0.79,2.0272,30244.27,119871.199
603039.SH,20260324,38.63,39.02,37.85,38.97,38.0,0.97,2.5526,40817.87,156819.79
603039.SH,20260323,39.83,39.95,37.65,38.0,40.51,-2.51,-6.196,62545.53,243586.812
603039.SH,20260320,42.0,42.46,40.51,40.51,41.83,-1.32,-3.1556,40204.31,166493.235
603039.SH,20260319,42.6,42.9,41.81,41.83,43.17,-1.34,-3.104,38686.59,163278.137
603039.SH,20260318,42.48,43.28,42.43,43.17,42.51,0.66,1.5526,30550.91,131114.839
603039.SH,20260317,43.46,43.5,42.51,42.51,43.39,-0.88,-2.0281,35869.12,154347.46
603039.SH,20260316,42.9,43.39,42.29,43.39,43.1,0.29,0.6729,42863.0,183538.887
603039.SH,20260313,43.9,44.16,43.07,43.1,44.4,-1.3,-2.9279,55170.71,239732.396
603039.SH,20260312,45.53,45.55,44.25,44.4,45.98,-1.58,-3.4363,86088.36,385610.662
603039.SH,20260311,44.55,46.98,43.87,45.98,44.23,1.75,3.9566,139082.6,632719.71
603039.SH,20260310,43.99,44.49,43.31,44.23,43.6,0.63,1.445,82967.08,365074.626
603039.SH,20260309,42.52,43.67,41.8,43.6,43.17,0.43,0.9961,77513.34,330251.962
603039.SH,20260306,42.39,43.21,42.0,43.17,42.44,0.73,1.7201,66855.88,284542.791
603039.SH,20260305,43.1,43.26,42.14,42.44,42.47,-0.03,-0.0706,54612.73,232805.106
603039.SH,20260304,42.96,43.52,42.13,42.47,43.25,-0.78,-1.8035,56480.84,241355.038
603039.SH,20260303,45.52,45.62,43.1,43.25,45.34,-2.09,-4.6096,68656.5,302843.413
603039.SH,20260302,46.34,46.48,45.12,45.34,47.1,-1.76,-3.7367,77655.71,354410.691
