ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605162.SH,20260331,10.2,11.61,10.16,11.61,10.55,1.06,10.0474,326210.79,363563.961
605162.SH,20260330,10.99,10.99,10.08,10.55,11.2,-0.65,-5.8036,291037.96,301165.173
605162.SH,20260327,10.8,11.7,10.8,11.2,10.98,0.22,2.0036,334395.3,374108.055
605162.SH,20260326,10.85,11.11,10.56,10.98,10.95,0.03,0.274,255146.89,277708.895
605162.SH,20260325,10.55,11.15,10.46,10.95,10.78,0.17,1.577,298204.95,324871.926
605162.SH,20260324,10.59,10.88,10.37,10.78,10.4,0.38,3.6538,272811.35,290062.717
605162.SH,20260323,10.9,11.32,10.33,10.4,10.64,-0.24,-2.2556,374134.6,405151.911
605162.SH,20260320,10.26,10.92,9.95,10.64,10.12,0.52,5.1383,341237.36,356677.135
605162.SH,20260319,10.1,10.7,10.07,10.12,10.23,-0.11,-1.0753,308406.0,319023.071
605162.SH,20260318,9.56,10.48,9.55,10.23,9.53,0.7,7.3452,338977.0,346754.195
605162.SH,20260317,9.67,9.78,9.51,9.53,9.67,-0.14,-1.4478,58758.0,56661.313
605162.SH,20260316,9.7,9.75,9.61,9.67,9.7,-0.03,-0.3093,53983.0,52205.452
605162.SH,20260313,9.96,9.96,9.66,9.7,9.9,-0.2,-2.0202,70435.0,68951.122
605162.SH,20260312,10.05,10.12,9.87,9.9,10.02,-0.12,-1.1976,67685.0,67421.169
605162.SH,20260311,10.05,10.09,9.91,10.02,10.06,-0.04,-0.3976,74640.0,74654.311
605162.SH,20260310,10.07,10.15,9.98,10.06,10.07,-0.01,-0.0993,76832.0,77203.109
605162.SH,20260309,9.95,10.13,9.9,10.07,10.02,0.05,0.499,88390.0,88772.074
605162.SH,20260306,9.82,10.13,9.82,10.02,9.94,0.08,0.8048,98103.0,98388.495
605162.SH,20260305,10.02,10.16,9.87,9.94,9.82,0.12,1.222,110523.48,110161.644
605162.SH,20260304,9.53,9.96,9.53,9.82,9.78,0.04,0.409,126610.3,124136.1
605162.SH,20260303,9.75,10.31,9.74,9.78,9.78,0.0,0.0,143040.3,142015.193
605162.SH,20260302,9.61,9.85,9.53,9.78,9.76,0.02,0.2049,101515.2,98735.735
