代码,名称,涨停统计,流通市值,换手率,连板数
002532,天山铝业,1/1,72814582623.96,0.6134498715400696,1
002810,山东赫达,1/1,7398514504.4,8.26975154876709,1
002160,常铝股份,1/1,5658704894.610001,1.9377635717391968,1
002675,东诚药业,1/1,10764200233.12,1.9286264181137085,1
002578,闽发铝业,1/1,3668552509.8599997,2.227407455444336,1
301008,宏昌科技,1/1,4082315566.1600003,6.270468711853027,1
688693,锴威特,1/1,2135852328.6,18.588558197021484,1
601068,中铝国际,1/1,16074229388.76,0.8256523013114929,1
601388,怡球资源,1/1,8672817107.039999,6.749003887176514,1
600502,安徽建工,1/1,8788653762.56,3.616438627243042,1
002038,双鹭药业,4/3,6193410919.629999,18.979400634765625,2
603538,美诺华,12/7,9318042600.4,4.119560718536377,5
600488,津药药业,2/2,5197380596.8,6.402377128601074,2
002501,利源股份,1/1,7234797180.24,3.7538065910339355,1
002850,科达利,1/1,35296251201.64,4.0974440574646,1
600513,联环药业,2/2,8041303125.900001,11.296412467956543,2
000890,法尔胜,2/2,6221052212.18,9.397289276123047,2
603618,杭电股份,4/3,18466642703.36,8.67348861694336,2
600127,金健米业,1/1,4819791967.18,5.9926629066467285,1
002686,亿利达,1/1,4124360277.12,6.61204195022583,1
003042,中农联合,2/2,2518020778.65,11.219955444335938,2
603585,苏利股份,2/2,4168224742.87,5.492213249206543,2
000048,京基智农,1/1,11900989425.5,7.431274890899658,1
600343,航天动力,1/1,20792762817.84,9.819109916687012,1
603256,宏和科技,1/1,63463541850.0,3.264004945755005,1
002370,亚太药业,1/1,5353892865.4,10.474406242370605,1
002980,华盛昌,1/1,4438851748.32,7.777398586273193,1
000592,平潭发展,4/2,22253374257.379997,22.486196517944336,1
600359,新农开发,1/1,2918573073.0,5.326930999755859,1
600996,贵广网络,2/2,13739734391.08,8.093911170959473,2
600539,狮头股份,5/4,3594900000.0,23.19346046447754,2
003036,泰坦股份,1/1,5860792529.700001,8.545206069946289,1
600602,云赛智联,1/1,25063488756.699997,10.361760139465332,1
002361,神剑股份,3/3,12136844760.0,28.426225662231445,3
603017,中衡设计,1/1,4352759017.68,11.381900787353516,1
603601,再升科技,4/3,16563944079.5,31.85171127319336,1
001400,江顺科技,4/2,2461500000.0,17.189725875854492,1
603016,新宏泰,1/1,6670163200.0,4.840734481811523,1
002222,福晶科技,1/1,33678834305.16,8.795095443725586,1
688677,海泰新光,1/1,5733716910.0,6.279546737670898,1
300385,雪浪环境,6/3,5760933386.06,22.739057540893555,1
603061,金海通,1/1,17080200000.000002,4.060163497924805,1
600487,亨通光电,1/1,131673003581.25,5.525508880615234,1
002309,中利集团,7/5,11453189786.08,36.369625091552734,1
600345,长江通信,4/2,9145708409.31,9.071735382080078,1
601869,长飞光纤,5/3,122588205950.66,3.671147346496582,1
000008,神州高铁,1/1,8067401947.440001,4.946505069732666,1
603239,浙江仙通,1/1,6351091200.0,3.9366588592529297,1
603716,塞力医疗,1/1,4810527244.25,15.218677520751953,1
603778,国晟科技,1/1,16264285692.6,16.90713119506836,1
002634,棒杰股份,1/1,3630163193.9400005,7.274623394012451,1
600135,乐凯胶片,1/1,6119576514.940001,10.021257400512695,1
002432,九安医疗,2/2,33099929103.5,13.25832748413086,2
600724,宁波富达,1/1,9233183622.96,1.783180594444275,1
605222,起帆电缆,1/1,9232513271.28,5.298408031463623,1
603272,联翔股份,6/3,3683939849.9999995,12.394207954406738,1
000753,漳州发展,4/2,7148578521.91,8.329080581665039,1
603122,合富中国,1/1,6735050550.360001,12.949016571044922,1
603358,华达科技,1/1,15171132501.689999,9.60019302368164,1
300900,广联航空,1/1,9798914035.439999,22.887195587158203,1
603897,长城科技,1/1,6789669548.09,6.492168426513672,1
600219,南山铝业,1/1,74529223117.91,4.951582908630371,1
