ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20260331,3891.8605,3924.067,3948.8107,3891.8605,3923.2869,-31.4264,-0.801,606704983.0,891945339.6
000001.SH,20260330,3923.2869,3884.2769,3924.2893,3872.7756,3913.7238,9.5631,0.2443,595589479.0,839822434.7
000001.SH,20260327,3913.7238,3852.0936,3924.1075,3852.0936,3889.0835,24.6403,0.6336,561342963.0,799696430.9
000001.SH,20260326,3889.0835,3924.9621,3937.1041,3880.5729,3931.8375,-42.754,-1.0874,615973981.0,848361335.1
