ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301008.SZ,20260331,41.45,42.29,37.85,42.29,35.24,7.05,20.0057,288691.4,1158767.7
301008.SZ,20260330,35.24,35.24,33.56,35.24,29.37,5.87,19.9864,72639.14,255841.592
301008.SZ,20260327,28.65,29.49,28.47,29.37,28.86,0.51,1.7672,13430.5,39076.191
301008.SZ,20260326,29.43,29.82,28.72,28.86,29.42,-0.56,-1.9035,12389.0,36215.912
301008.SZ,20260325,28.7,29.88,28.7,29.42,28.7,0.72,2.5087,15872.38,46587.282
301008.SZ,20260324,28.44,28.75,27.77,28.7,27.89,0.81,2.9043,14712.0,41499.69
301008.SZ,20260323,29.01,29.45,27.7,27.89,29.35,-1.46,-4.9744,23089.4,65981.898
301008.SZ,20260320,30.5,30.51,28.94,29.35,30.25,-0.9,-2.9752,17412.96,51811.241
301008.SZ,20260319,30.69,31.03,30.12,30.25,31.18,-0.93,-2.9827,13245.94,40415.775
301008.SZ,20260318,30.59,31.33,30.33,31.18,30.48,0.7,2.2966,11291.82,34776.041
301008.SZ,20260317,32.03,32.09,30.4,30.48,31.88,-1.4,-4.3915,17738.16,55036.789
301008.SZ,20260316,31.41,31.88,31.26,31.88,31.35,0.53,1.6906,12826.48,40470.443
301008.SZ,20260313,31.83,32.18,31.28,31.35,31.96,-0.61,-1.9086,13565.78,42981.248
301008.SZ,20260312,32.4,32.64,31.83,31.96,32.4,-0.44,-1.358,12339.09,39674.679
301008.SZ,20260311,33.17,33.17,32.22,32.4,32.98,-0.58,-1.7586,12392.67,40392.604
301008.SZ,20260310,31.68,33.07,31.68,32.98,31.41,1.57,4.9984,18411.52,59924.509
301008.SZ,20260309,32.08,32.08,31.01,31.41,32.61,-1.2,-3.6799,18738.32,58895.253
301008.SZ,20260306,32.32,32.64,32.14,32.61,32.32,0.29,0.8973,9885.68,32111.714
301008.SZ,20260305,32.8,33.12,32.13,32.32,32.39,-0.07,-0.2161,14158.53,46137.565
301008.SZ,20260304,31.93,33.2,31.8,32.39,32.39,0.0,0.0,14900.05,48380.0
301008.SZ,20260303,34.53,34.53,32.39,32.39,34.53,-2.14,-6.1975,28864.98,96373.993
301008.SZ,20260302,34.78,35.82,34.01,34.53,36.02,-1.49,-4.1366,30995.92,107474.458
