序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,001257,N盛龙,27.68,253.96,19.86,1076706.0,2575557214.01,117.65,30.0,20.8,23.46,7.82,,78.62,57.49,7.91,50819118615.0,3790720308.0,-0.07,0.18,253.96,253.96
2,688813,N泰金,49.47,88.24,23.19,235541.0,1193897084.0,51.52,60.55,47.01,49.0,26.28,,78.31,38.78,7.65,7915200000.0,1487908003.0,-0.02,-0.1,88.24,88.24
3,920055,N隆源,37.8,53.04,13.1,142826.0,543820578.45,28.79,43.11,36.0,36.0,24.7,,93.35,17.97,2.37,2570400000.0,578340000.0,-0.05,0.0,53.04,53.04
4,301008,宏昌科技,42.29,20.01,7.05,288691.0,1158767699.95,12.6,42.29,37.85,41.45,35.24,11.19,24.92,164.91,3.7,5538435166.0,4899010366.0,0.0,0.0,22.58,22.58
5,301255,通力科技,29.76,20.0,4.96,86544.0,243220761.72,21.61,29.76,24.4,24.4,24.8,8.99,22.73,102.56,4.31,4533043200.0,1133260800.0,0.0,0.0,4.24,1.74
6,300992,泰福泵业,41.88,20.0,6.98,156345.0,588926354.36,26.59,41.88,32.6,33.51,34.9,3.12,20.17,227.34,4.42,3992804272.0,3245476612.0,0.0,0.0,54.48,55.11
7,301079,邵阳液压,44.76,20.0,7.46,182411.0,778569388.34,20.8,44.76,37.0,37.0,37.3,3.59,26.24,1484.81,10.31,4875806794.0,3111947907.0,0.0,0.0,46.9,41.6
8,301048,金鹰重工,13.09,19.98,2.18,491307.0,612448140.77,20.9,13.09,10.81,10.81,10.91,8.05,9.21,41.83,2.55,6981334206.0,6981334206.0,0.0,0.0,13.24,14.82
9,300834,星辉环材,30.2,19.98,5.03,113952.0,341444592.51,8.7,30.2,28.01,30.18,25.17,5.35,5.92,110.89,1.99,5850113061.0,5811288726.0,0.0,0.0,36.84,30.28
10,920058,华洋赛车,33.17,18.08,5.08,36109.0,114446946.83,23.14,35.0,28.5,28.5,28.09,3.47,13.09,37.07,5.36,1859381169.0,915305850.0,-0.27,-0.09,2.63,-4.63
11,688288,鸿泉技术,30.6,16.26,4.28,143002.0,410467668.0,19.79,31.58,26.37,27.11,26.32,5.36,14.33,103.8,4.04,3054299342.0,3054299342.0,-0.29,0.69,10.75,14.14
12,920027,交大铁发,21.78,15.97,3.0,107748.0,230682771.13,23.43,22.9,18.5,18.5,18.78,15.39,25.53,39.18,3.77,1725052230.0,919192230.0,0.14,0.55,-3.46,1.87
13,300960,通业科技,27.49,14.59,3.5,104376.0,278727195.31,16.3,27.99,24.08,24.08,23.99,6.09,7.98,75.26,6.13,3970772845.0,3597843505.0,0.0,0.48,1.51,9.17
14,688677,海泰新光,54.69,14.34,6.86,149100.0,794227617.0,16.52,57.4,49.5,49.8,47.83,5.6,12.44,38.2,4.87,6556073130.0,6556073130.0,0.15,0.11,26.39,26.71
15,688455,科捷智能,27.17,13.26,3.18,86147.0,229868517.0,14.76,27.78,24.24,24.24,23.99,2.62,5.13,143.69,4.79,4565393195.0,4565393195.0,0.07,0.07,30.44,35.24
16,301323,新莱福,62.86,12.49,6.98,69996.0,427715891.14,16.68,64.8,55.48,55.65,55.88,2.71,10.34,47.66,3.05,6637305053.0,4253922454.0,0.03,0.1,10.46,15.19
17,300825,阿尔特,9.4,12.44,1.04,367880.0,338058166.04,15.19,9.65,8.38,8.38,8.36,6.03,7.59,-23.28,2.22,4681580521.0,4553455880.0,0.0,0.0,-2.79,-2.89
18,300411,金盾股份,11.21,11.43,1.15,225937.0,244594690.84,12.43,11.3,10.05,10.06,10.06,5.58,7.31,235.32,4.7,4557089278.0,3465184755.0,0.0,0.45,-1.58,-3.28
19,301179,泽宇智能,25.35,11.38,2.59,344163.0,851725460.67,14.24,25.9,22.66,22.98,22.76,1.5,14.49,132.46,4.23,10251731874.0,6020763132.0,0.04,0.08,57.75,60.34
20,601908,京运通,5.01,10.11,0.46,1968198.0,964440248.0,13.41,5.01,4.4,4.49,4.55,0.63,8.15,-39.9,1.37,12097160334.0,12097160334.0,0.0,0.0,23.7,28.13
21,000008,神州高铁,3.27,10.1,0.3,1617560.0,524434245.66,4.71,3.27,3.13,3.25,2.97,2.9,5.96,-76.38,3.03,8882555023.0,8882291033.0,0.0,0.0,12.76,14.74
22,000030,富奥股份,5.56,10.1,0.51,511203.0,276270289.28,9.7,5.56,5.07,5.07,5.05,4.73,3.06,16.31,1.17,9562148298.0,9290239834.0,0.0,0.0,-4.14,-3.14
23,002578,闽发铝业,4.69,10.09,0.43,795976.0,372904759.7,2.11,4.69,4.6,4.67,4.26,2.99,9.24,-406.93,2.9,4402175558.0,4038852411.0,0.0,0.0,1.96,4.45
24,688758,赛分科技,19.65,10.08,1.8,102410.0,199347407.0,11.65,20.19,18.11,18.77,17.85,4.53,3.43,64.75,6.05,8183519251.0,5859309155.0,0.0,0.1,6.85,10.83
25,000720,新能泰山,5.46,10.08,0.5,1937267.0,982547642.2,17.54,5.46,4.59,4.6,4.96,1.92,15.42,-1296.84,2.91,6860662378.0,6860662378.0,0.0,0.0,60.12,66.97
26,600488,津药药业,5.24,10.08,0.48,897796.0,466914879.0,5.67,5.24,4.97,4.99,4.76,3.35,8.22,61.71,1.89,5721486203.0,5721486203.0,0.0,0.0,24.47,28.12
27,002542,中化岩土,3.28,10.07,0.3,371591.0,120705072.43,11.07,3.28,2.95,2.97,2.98,2.01,2.11,-15.03,11.33,5924062901.0,5768769812.0,0.0,0.0,-3.81,-1.8
28,603660,苏州科达,9.74,10.06,0.89,357916.0,336991116.0,10.28,9.74,8.83,8.83,8.85,2.95,6.26,-11.98,6.53,5608156088.0,5566338859.0,0.0,0.0,-3.08,-11.7
29,605162,新中港,11.61,10.05,1.06,326211.0,363563961.0,13.74,11.61,10.16,10.2,10.55,1.12,8.14,37.98,3.66,4650768653.0,4650768653.0,0.0,0.0,32.69,35.95
30,000631,顺发恒能,4.27,10.05,0.39,1151436.0,491622257.52,1.29,4.27,4.22,4.27,3.88,4.46,5.01,166.52,1.74,9821000363.0,9821000363.0,0.0,0.0,30.18,31.38
31,600495,晋西车轴,4.93,10.04,0.45,718440.0,347120244.0,10.04,4.93,4.48,4.48,4.48,4.57,5.95,202.01,1.82,5956381068.0,5956381068.0,0.0,0.0,1.44,3.14
32,000913,钱江摩托,16.67,10.03,1.52,338704.0,549072938.0,11.82,16.67,14.88,15.0,15.15,6.05,6.51,20.55,1.86,8778313645.0,8670158685.0,0.0,0.0,9.03,8.11
33,002565,顺灏股份,17.01,10.03,1.55,1172762.0,1967978360.13,9.77,17.01,15.5,15.52,15.46,0.48,11.06,200.88,9.67,18030411563.0,18029646113.0,0.0,0.0,9.32,-7.2
34,000863,三湘印象,5.71,10.02,0.52,379082.0,212506297.04,9.83,5.71,5.2,5.2,5.19,1.95,3.26,685.76,1.5,6741794488.0,6644244037.0,0.0,0.0,11.52,-8.35
35,603826,坤彩科技,27.67,10.02,2.52,256739.0,696678499.0,12.17,27.67,24.61,24.8,25.15,1.96,3.92,-195.16,10.1,18129384000.0,18129384000.0,0.0,0.0,58.2,62.76
36,002082,万邦德,30.2,10.02,2.75,704793.0,2008597945.04,11.62,30.2,27.01,28.27,27.45,1.67,12.74,-92.93,7.44,18473009461.0,16708238244.0,0.0,0.0,125.04,116.8
37,600250,南京商旅,14.05,10.02,1.28,610716.0,823592414.0,11.12,14.05,12.63,12.64,12.77,1.5,19.52,173.68,6.98,4394719226.0,4394719226.0,0.0,0.0,16.4,22.07
38,000678,襄阳轴承,12.64,10.01,1.15,250757.0,306939834.06,9.92,12.64,11.5,11.53,11.49,2.46,5.46,-162.23,7.29,5809493114.0,5809493114.0,0.0,0.0,-14.48,-15.9
39,605299,舒华体育,21.33,10.01,1.94,416352.0,863127491.0,11.96,21.33,19.01,19.43,19.39,0.77,10.17,97.85,6.85,8728801736.0,8728801736.0,0.0,0.0,78.79,85.64
40,000070,特发信息,17.8,10.01,1.62,1575523.0,2662710052.23,14.52,17.8,15.45,16.05,16.18,1.88,17.73,1503.18,10.63,16026136728.0,15818483566.0,0.0,0.0,42.63,51.62
41,002342,巨力索具,14.4,10.01,1.31,1761553.0,2490062269.09,12.15,14.4,12.81,12.96,13.09,1.48,18.45,937.16,5.68,13824000000.0,13747536000.0,0.0,0.0,88.24,56.52
42,600066,宇通客车,35.86,10.0,3.26,334461.0,1199265614.0,1.72,35.86,35.3,35.86,32.6,1.48,1.51,14.29,5.09,79391860537.0,79391860537.0,0.0,0.0,9.93,9.66
43,600158,中体产业,11.99,10.0,1.09,1274490.0,1497795517.0,9.45,11.99,10.96,10.96,10.9,1.43,13.28,-409.53,4.43,11504561673.0,11504561673.0,0.0,0.0,35.17,37.34
44,002218,拓日新能,6.93,10.0,0.63,3126452.0,2119477376.16,11.43,6.93,6.21,6.31,6.3,1.18,22.45,-67.42,2.41,9792232405.0,9649319866.0,0.0,0.0,57.86,59.68
45,002821,凯莱英,110.77,10.0,10.07,170050.0,1872865224.73,5.06,110.77,105.67,105.67,100.7,4.63,5.36,35.3,2.26,39974120427.0,35118948151.0,0.0,0.0,15.36,19.2
46,002263,大东南,4.51,10.0,0.41,4648424.0,1969953740.7,12.2,4.51,4.01,4.05,4.1,2.32,24.75,526.89,3.06,8471404051.0,8471336401.0,0.0,0.0,33.04,35.44
47,603039,泛微网络,43.45,10.0,3.95,63537.0,274447410.0,4.63,43.45,41.62,42.47,39.5,2.17,2.48,38.58,4.67,11139100745.0,11139100745.0,0.0,0.0,-12.04,-18.85
48,003033,征和工业,60.61,10.0,5.51,51880.0,297459562.91,12.03,60.61,53.98,56.01,55.1,3.94,6.43,28.29,3.54,4954867500.0,4893872142.0,0.0,0.0,-13.03,-22.9
49,002788,鹭燕医药,16.17,10.0,1.47,1042969.0,1632465175.94,8.78,16.17,14.88,14.88,14.7,4.93,27.32,21.45,1.94,6282315621.0,6173605762.0,0.0,0.0,-19.39,-23.65
50,002361,神剑股份,16.5,10.0,1.5,1917880.0,3149143534.99,4.47,16.5,15.83,16.15,15.0,1.25,23.7,388.16,7.09,15692076989.0,13350529236.0,0.0,0.0,37.84,15.06
51,603657,春光科技,27.94,10.0,2.54,52463.0,142375599.0,9.61,27.94,25.5,25.87,25.4,4.3,3.88,586.1,4.01,3777209997.0,3777209997.0,0.0,0.0,-12.55,-6.24
52,002454,松芝股份,9.24,10.0,0.84,143786.0,131310484.5,5.24,9.24,8.8,9.08,8.4,1.71,2.29,23.47,1.45,5808093984.0,5792982103.0,0.0,0.0,4.29,6.08
53,002580,圣阳股份,17.61,9.99,1.6,1149131.0,1916010532.7,9.68,17.61,16.06,16.12,16.01,1.26,25.4,37.43,3.43,7992632967.0,7965686268.0,0.0,0.0,39.54,41.56
54,002995,天地在线,24.66,9.99,2.24,133193.0,319203105.82,9.05,24.66,22.63,22.8,22.42,0.61,11.85,-74.0,4.93,4376027477.0,2772208349.0,0.0,0.0,50.27,49.27
55,001239,永达股份,15.86,9.99,1.44,74407.0,114433744.27,9.22,15.86,14.53,14.53,14.42,1.57,6.53,80.08,2.81,3806400000.0,1808040000.0,0.0,0.0,-3.88,-2.82
56,002560,通达股份,10.79,9.99,0.98,565903.0,595734847.51,8.26,10.79,9.98,10.27,9.81,2.83,12.49,35.14,2.09,5672719170.0,4887179462.0,0.0,0.0,1.12,7.04
57,002800,天顺股份,22.91,9.99,2.08,106074.0,238065680.0,8.5,22.91,21.14,21.23,20.83,1.26,7.17,-146.35,7.09,3488117765.0,3387080060.0,0.0,0.0,40.21,45.37
58,605116,奥锐特,29.39,9.99,2.67,138178.0,384524832.0,10.44,29.39,26.6,26.65,26.72,2.45,3.4,25.32,4.73,11937725247.0,11937725247.0,0.0,0.0,22.97,17.33
59,600184,光电股份,18.41,9.98,1.67,378899.0,655146051.0,13.38,18.41,16.17,16.41,16.74,1.55,6.5,326.21,3.17,10728012686.0,10728012686.0,0.0,0.0,-2.8,-3.41
60,000592,平潭发展,12.78,9.98,1.16,4452508.0,5569520997.47,7.75,12.78,11.88,12.06,11.62,1.58,23.25,592.88,12.87,24688159800.0,24474881498.0,0.0,0.0,-7.99,-17.01
61,000993,闽东电力,16.31,9.98,1.48,380516.0,608092071.25,10.86,16.31,14.7,14.84,14.83,0.54,8.65,126.86,2.9,7469188231.0,7172282899.0,0.0,0.0,29.65,36.14
62,600894,广日股份,9.59,9.98,0.87,151030.0,144711983.0,1.61,9.59,9.45,9.45,8.72,3.67,1.79,11.85,0.92,8167595492.0,8085755228.0,0.0,0.0,4.13,3.68
63,000037,深南电A,13.02,9.97,1.18,826064.0,1019335311.92,13.85,13.02,11.38,11.6,11.84,1.1,24.37,-295.14,5.34,7847969000.0,4412584113.0,0.0,0.0,52.46,57.25
64,600502,安徽建工,5.63,9.96,0.51,1708973.0,948716166.0,5.47,5.63,5.35,5.43,5.12,5.32,9.96,6.33,0.8,9664086071.0,9664086071.0,0.0,0.0,22.93,22.66
65,002634,棒杰股份,8.94,9.96,0.81,352942.0,312215575.92,6.64,8.94,8.4,8.7,8.13,1.76,7.9,-3.4,-6.76,4106611466.0,3991839970.0,0.0,0.0,69.0,58.23
66,600528,中铁工业,9.17,9.95,0.83,1489537.0,1327340774.0,10.07,9.17,8.33,8.36,8.34,5.73,6.7,14.9,0.81,20371628062.0,20371628062.0,0.0,0.0,12.79,12.1
67,000927,中国铁物,3.34,9.87,0.3,1855922.0,605001027.86,8.88,3.34,3.07,3.09,3.04,0.59,3.07,35.09,2.07,20208181161.0,20208170941.0,0.0,0.0,26.52,27.97
68,301128,强瑞技术,148.03,9.22,12.5,143177.0,2127731307.45,13.85,156.78,138.01,138.01,135.53,1.39,16.23,99.07,17.21,15312411198.0,13060887629.0,-0.15,-0.06,37.38,46.7
69,688302,海创药业-U,44.02,9.18,3.7,48389.0,205817336.0,12.92,45.2,39.99,40.58,40.32,2.92,4.89,-31.89,4.09,4358666624.0,4358666624.0,0.05,0.34,-14.14,-10.47
70,601002,晋亿实业,6.03,9.04,0.5,1390662.0,827707699.0,9.76,6.08,5.54,5.54,5.53,4.18,14.57,23.76,1.33,5755277542.0,5755277542.0,-0.17,1.01,13.35,17.32
71,301201,诚达药业,51.7,9.0,4.27,191695.0,979559032.17,13.49,54.1,47.7,47.7,47.43,2.88,17.66,357.65,3.76,7998704701.0,5611740517.0,-0.06,0.19,24.28,27.03
72,920942,恒立钻具,28.62,8.78,2.31,57803.0,165199729.09,18.02,30.36,25.62,25.62,26.31,5.25,13.96,82.2,3.52,1755181602.0,1185297701.0,-0.07,-0.07,-9.83,-6.84
73,002730,电光科技,26.5,8.56,2.09,547686.0,1413178581.94,10.94,26.85,24.18,24.32,24.41,1.35,15.83,105.68,5.89,9595116820.0,9169791820.0,0.08,0.76,76.2,76.2
74,920576,天力复合,80.93,7.91,5.93,92321.0,747914993.56,17.61,86.8,73.59,75.0,75.0,2.25,8.62,399.85,19.74,8817323500.0,8669841038.0,0.0,0.02,-6.77,14.6
75,301333,诺思格,68.65,7.86,5.0,57168.0,393126901.68,14.52,73.08,63.84,63.84,63.65,2.46,5.93,48.43,3.37,6630303224.0,6620862476.0,-0.56,1.15,16.26,15.28
76,301399,英特科技,24.89,7.75,1.79,214272.0,518956139.47,12.34,25.38,22.53,22.53,23.1,2.02,39.18,156.82,3.51,4605147800.0,1361074456.0,0.4,-0.04,24.02,27.51
77,600741,华域汽车,19.21,7.44,1.33,576022.0,1118892774.0,3.75,19.67,19.0,19.1,17.88,5.42,1.83,8.4,0.9,60563827733.0,60563827733.0,-0.1,-0.1,-4.09,-3.95
78,603138,海量数据,20.53,7.21,1.38,251449.0,515732864.0,10.91,21.07,18.98,19.3,19.15,1.95,8.72,-59.99,7.87,6033206736.0,5919678711.0,0.15,-0.24,46.64,44.37
79,600320,振华重工,5.03,7.02,0.33,1638082.0,828165794.0,8.72,5.17,4.76,4.79,4.7,3.58,4.93,36.21,1.69,26499818110.0,16709648235.0,-0.2,0.2,3.71,-1.95
80,603016,新宏泰,48.13,6.91,3.11,98527.0,459294152.0,11.04,48.97,44.0,45.6,45.02,1.21,6.65,111.86,8.65,7130940800.0,7130940800.0,0.06,0.06,67.7,59.79
81,603601,再升科技,15.49,6.83,0.99,4581188.0,7071430618.0,11.93,15.95,14.22,14.5,14.5,1.69,40.1,163.33,7.26,17694861641.0,17694861641.0,0.06,0.13,27.7,24.22
82,920541,铁大科技,13.02,6.81,0.83,61316.0,80264489.0,13.54,13.59,11.94,12.07,12.19,6.03,6.81,25.06,3.81,1779834000.0,1172564066.0,0.08,0.31,-3.63,-1.44
83,600268,国电南自,15.48,6.76,0.98,944192.0,1435714925.0,8.28,15.5,14.3,14.47,14.5,2.14,9.34,32.75,4.21,15725679643.0,15647669654.0,-0.06,0.39,42.41,47.71
84,600726,华电能源,6.41,6.66,0.4,5204828.0,3137768278.0,15.81,6.55,5.6,5.6,6.01,1.19,6.96,142.28,12.32,50686025106.0,47916905093.0,-0.16,0.16,157.43,168.2
85,603618,杭电股份,28.49,6.66,1.78,1451111.0,4121055774.0,10.03,29.38,26.7,27.0,26.71,1.69,20.99,-67.35,7.26,19697291300.0,19697291300.0,0.0,-0.94,231.28,253.47
86,002479,富春环保,6.02,6.55,0.37,945707.0,545753867.51,9.38,6.07,5.54,5.59,5.65,1.46,10.96,16.05,1.24,5207300000.0,5195698521.0,0.17,0.5,22.11,22.86
87,603127,昭衍新药,34.2,6.54,2.1,557743.0,1915395497.0,10.34,35.31,31.99,32.0,32.1,2.5,8.85,86.04,3.08,25627709124.0,21558073079.0,0.03,0.41,-8.51,-2.31
88,300532,今天国际,11.14,6.5,0.68,271046.0,302346976.83,4.49,11.35,10.88,11.0,10.46,3.73,6.28,21.51,2.82,5057880676.0,4810015665.0,0.0,0.0,-6.47,-5.43
89,002553,南方精工,24.7,6.47,1.5,191274.0,470133294.14,10.3,25.52,23.13,23.13,23.2,3.03,7.63,17.86,5.87,8729218083.0,6194760000.0,0.04,0.24,-8.89,-9.56
90,301310,鑫宏业,40.37,6.21,2.36,43058.0,169850697.75,6.68,40.37,37.83,38.2,38.01,3.06,8.57,44.0,2.41,5512702743.0,2028356739.0,0.07,0.2,-8.64,-6.01
91,300069,金利华电,21.08,6.14,1.22,273149.0,565603445.84,9.47,21.69,19.81,19.9,19.86,1.53,23.35,254.99,8.73,2466360000.0,2466360000.0,0.05,0.24,19.1,22.2
92,688523,航天环宇,64.59,5.97,3.64,117513.0,758796354.0,11.4,67.5,60.55,60.55,60.95,1.96,12.18,612.19,15.68,26280379200.0,6233964371.0,0.02,-0.02,52.51,15.42
93,920837,华原股份,12.93,5.9,0.72,33536.0,43081439.42,9.99,13.43,12.21,12.28,12.21,3.16,2.45,26.12,3.44,1961646336.0,1768666086.0,0.0,0.23,-12.52,-11.32
94,000333,美的集团,76.35,5.89,4.25,694915.0,5310077351.85,4.17,77.32,74.31,75.05,72.1,2.47,1.01,13.21,2.6,580510136801.0,523156364270.0,-0.31,-0.26,-2.85,-2.3
95,603787,新日股份,16.56,5.81,0.91,365626.0,588012431.0,14.12,17.11,14.9,15.28,15.65,1.1,15.89,24.69,2.4,3811181162.0,3811181162.0,0.06,0.73,25.74,17.78
96,300680,隆盛科技,41.1,5.66,2.2,182799.0,746895871.77,8.43,41.98,38.7,38.9,38.9,3.6,10.4,33.38,4.72,9359130806.0,7226947554.0,0.02,0.24,-23.21,-26.44
97,600343,航天动力,34.38,5.52,1.8,1294979.0,4435574213.0,9.73,35.75,32.58,32.58,32.58,3.76,20.29,-113.93,16.95,21941534244.0,21941534244.0,0.15,-0.09,-20.55,-29.79
98,600060,海信视像,22.36,5.52,1.17,330693.0,745889657.0,5.38,22.95,21.81,21.81,21.19,3.4,2.54,11.89,1.37,29179179599.0,29071772602.0,0.18,0.49,-8.06,-7.91
99,920021,流金科技,10.17,5.5,0.53,330215.0,334775347.96,8.61,10.44,9.61,9.8,9.64,1.61,13.34,300.42,4.89,3142529827.0,2517631024.0,0.0,0.2,47.18,51.34
100,001696,宗申动力,19.9,5.46,1.03,557809.0,1089969834.45,5.35,19.97,18.96,19.2,18.87,2.47,6.26,22.55,4.16,22786035708.0,17738824678.0,0.05,0.4,-8.51,-8.25
101,688569,铁科轨道,21.86,5.3,1.1,67062.0,145961675.0,8.86,22.49,20.65,20.65,20.76,5.12,3.18,26.89,1.56,4605174062.0,4605174062.0,0.0,0.18,1.25,-0.5
102,001337,四川黄金,50.16,5.14,2.45,286730.0,1450215459.72,9.77,52.48,47.82,48.14,47.71,1.85,6.83,42.81,12.17,21067200000.0,21067200000.0,0.0,0.12,75.38,80.04
103,300651,金陵体育,30.11,5.1,1.46,223284.0,677828313.26,11.2,31.59,28.38,28.38,28.65,1.1,25.54,90.33,3.93,4251823706.0,2632608413.0,0.33,-0.03,45.46,48.47
104,920174,五新隧装,39.32,5.08,1.9,45497.0,181357498.88,10.61,40.97,37.0,37.29,37.42,3.66,5.23,42.84,3.27,8528700314.0,3420869844.0,0.08,0.18,-20.32,-18.66
105,605199,ST葫芦娃,6.83,5.08,0.33,32832.0,22202784.0,5.85,6.83,6.45,6.49,6.5,1.38,0.82,-182.77,3.96,2732742776.0,2732742776.0,0.0,0.0,-22.74,-10.37
106,688425,铁建重工,5.39,5.07,0.26,1267657.0,679079875.0,8.77,5.55,5.1,5.13,5.13,3.77,2.38,19.38,1.55,28747548830.0,28747548830.0,-0.19,0.0,3.85,6.31
107,000065,北方国际,14.55,5.05,0.7,807774.0,1169238601.76,7.58,14.96,13.91,13.98,13.85,1.42,8.29,23.36,1.52,16898983413.0,14185701290.0,0.14,0.14,15.75,16.77
108,920978,开特股份,27.34,5.03,1.31,34049.0,91972853.53,5.46,27.43,26.01,26.1,26.03,1.2,3.37,28.67,6.3,4921978315.0,2759561478.0,0.04,0.4,-27.09,-25.91
109,002168,*ST惠程,4.18,5.03,0.2,145276.0,60689090.76,0.25,4.18,4.17,4.17,3.98,0.97,1.85,-41.48,204.99,3277802878.0,3277802878.0,0.0,0.0,10.0,-0.48
110,688301,奕瑞科技,108.69,5.02,5.2,67812.0,734085890.0,5.02,110.3,105.1,105.9,103.49,2.22,3.38,35.36,3.86,22982408657.0,21781495021.0,0.1,-0.23,2.96,7.5
111,300906,日月明,33.45,5.02,1.6,45079.0,150487813.22,7.54,34.19,31.79,32.04,31.85,3.39,6.24,55.06,2.97,2676000000.0,2414989650.0,-0.33,-0.09,-8.83,-4.81
112,002528,ST英飞拓,3.79,4.99,0.18,61303.0,23233874.9,0.0,3.79,3.79,3.79,3.61,0.23,0.58,-45.96,44.9,4542978561.0,3980332197.0,0.0,0.0,31.14,41.42
113,603559,ST通脉,7.16,4.99,0.34,36366.0,25695503.0,4.99,7.16,6.82,6.82,6.82,1.57,0.91,-33.19,3.02,2873143170.0,2873143170.0,0.0,0.0,-11.28,2.43
114,301365,矩阵股份,29.86,4.99,1.42,92368.0,275946766.16,8.9,30.77,28.24,28.45,28.44,1.2,9.11,58.56,3.08,5374800000.0,3027277031.0,-0.23,-0.23,20.7,25.25
115,600163,中闽能源,7.62,4.96,0.36,1949066.0,1457871541.0,11.16,7.79,6.98,7.14,7.26,1.32,10.24,33.16,2.09,14500830610.0,14500830610.0,0.13,0.26,28.28,40.59
116,603429,*ST集友,9.95,4.96,0.47,61486.0,60230442.0,5.8,9.95,9.4,9.62,9.48,0.55,1.17,-286.66,4.12,5218630377.0,5218630377.0,0.0,0.0,1.02,0.4
117,002761,浙江建投,8.57,4.9,0.4,389874.0,331110301.52,7.47,8.73,8.12,8.12,8.17,1.65,3.6,56.43,1.4,11354146270.0,9270926768.0,-0.12,0.0,-0.46,0.0
118,301053,远信工业,40.46,4.9,1.89,85875.0,342646201.64,6.17,40.6,38.22,38.9,38.57,1.49,10.13,189.15,5.01,3710386525.0,3431137715.0,-0.15,0.12,17.89,14.62
119,600581,*ST八钢,2.79,4.89,0.13,683135.0,190594579.0,0.0,2.79,2.79,2.79,2.66,2.33,4.46,-2.28,-2.39,4276785057.0,4276785057.0,0.0,0.0,-17.46,-16.47
120,000677,恒天海龙,5.17,4.87,0.24,1385988.0,720101456.2,9.94,5.41,4.92,4.96,4.93,1.47,16.04,1219.19,8.8,4466765991.0,4466765991.0,0.0,0.19,14.89,17.77
121,300503,昊志机电,52.03,4.86,2.41,262713.0,1367172339.64,8.26,53.34,49.24,49.53,49.62,2.22,10.9,98.93,11.93,16037039624.0,12537934401.0,-0.02,-0.13,19.83,-18.35
122,603261,*ST立航,36.16,4.84,1.67,17060.0,61258002.0,4.99,36.21,34.49,35.0,34.49,2.27,2.2,-47.34,4.17,2802581596.0,2802581596.0,-0.08,-0.11,44.7,49.73
123,300994,久祺股份,16.52,4.82,0.76,176577.0,288471277.95,6.92,16.85,15.76,16.01,15.76,1.85,15.14,22.34,3.21,3850613760.0,1927289280.0,0.0,0.79,3.44,4.62
124,603558,健盛集团,14.78,4.75,0.67,167166.0,244547050.0,6.45,14.91,14.0,14.09,14.11,0.95,4.88,12.51,2.16,5064190364.0,5064190364.0,0.14,0.96,29.54,31.61
125,688608,恒玄科技,175.69,4.73,7.94,57056.0,1007655051.0,7.69,180.69,167.79,167.79,167.75,1.66,3.38,49.9,4.2,29637802302.0,29637802302.0,0.0,-0.01,-22.11,-22.58
126,300775,三角防务,37.19,4.73,1.68,508341.0,1900877701.32,9.72,38.75,35.3,35.55,35.51,2.51,9.56,40.68,3.48,20363335112.0,19769637150.0,-0.03,0.05,21.93,22.34
127,002491,通鼎互联,12.2,4.72,0.55,2572171.0,3021294000.06,18.11,12.8,10.69,11.31,11.65,1.49,21.86,-171.91,6.05,15005932900.0,14352920226.0,0.0,-0.08,89.44,103.33
128,920665,科强股份,11.23,4.66,0.5,37294.0,41545436.26,5.87,11.36,10.73,10.73,10.73,2.99,5.82,44.92,2.02,1459787700.0,719524832.0,-0.09,0.36,-26.02,-20.3
129,000048,京基智农,23.66,4.64,1.05,375302.0,887187671.79,5.22,24.24,23.06,23.3,22.61,2.12,7.13,31.59,2.97,12546478035.0,12453666953.0,-0.04,-0.08,59.22,34.43
130,300759,康龙化成,27.98,4.56,1.22,555936.0,1575245029.65,6.09,29.09,27.46,27.69,26.76,2.66,3.91,30.9,3.3,51407195911.0,39732494073.0,-0.04,-0.29,-5.31,-1.58
131,688285,高铁电气,9.23,4.53,0.4,217436.0,204279819.0,11.44,9.75,8.74,8.77,8.83,5.63,5.78,67.49,2.06,3473155897.0,3473155897.0,0.0,-0.11,3.59,6.34
132,002166,莱茵生物,9.32,4.48,0.4,283192.0,264746603.75,4.26,9.48,9.1,9.1,8.92,2.82,3.83,48.29,2.19,6911799841.0,6883616161.0,-0.32,0.0,-1.17,10.3
133,605099,共创草坪,43.81,4.48,1.88,88691.0,385792490.0,7.99,44.68,41.33,41.6,41.93,1.07,2.21,25.67,5.87,17634916143.0,17587320959.0,0.02,0.5,19.37,22.75
134,601138,工业富联,51.46,4.44,2.19,2386740.0,12272913185.0,8.77,52.85,48.53,49.0,49.27,2.44,1.2,28.94,6.13,1021176988935.0,1021176988935.0,-0.1,-0.04,-22.49,-16.62
135,002792,通宇通讯,44.55,4.41,1.88,782252.0,3505072886.37,9.63,46.72,42.61,42.7,42.67,1.87,23.16,692.5,8.39,23336895137.0,15050080673.0,0.02,0.22,16.68,4.33
136,002038,双鹭药业,7.59,4.4,0.32,1729382.0,1269216121.67,13.62,7.8,6.81,6.81,7.27,2.5,20.3,41.45,1.37,7797586500.0,6466023230.0,-0.39,-0.13,-1.81,2.99
