序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5351,688345,博力威,38.21,-6.8,-2.79,39958.0,157814625.0,8.1,41.5,38.18,40.77,41.0,0.74,4.0,69.17,3.45,3864922395.0,3821000000.0,-0.16,0.03,15.86,22.47
5352,301162,国能日新,65.45,-6.82,-4.79,23786.0,160395138.35,7.23,70.4,65.32,70.39,70.24,1.22,2.79,86.28,5.67,8677604736.0,5578012117.0,-0.23,-0.08,24.31,27.68
5353,002470,金正大,3.0,-6.83,-0.22,4302035.0,1327623564.0,7.76,3.25,3.0,3.15,3.22,0.98,13.09,-250.83,4.8,9858083226.0,9857248251.0,-0.33,-0.33,68.54,68.54
5354,002284,亚太股份,13.18,-6.86,-0.97,300727.0,400670017.24,4.95,13.83,13.13,13.8,14.15,2.59,4.11,19.88,2.9,9741342587.0,9650242427.0,-0.08,0.0,-15.51,-11.72
5355,603026,石大胜华,86.65,-6.89,-6.41,265898.0,2365567920.0,9.13,94.8,86.3,92.62,93.06,1.07,11.43,1268.27,4.11,20163542863.0,20163542863.0,-0.15,-0.05,10.23,15.83
5356,603062,麦加芯彩,46.29,-6.9,-3.43,23038.0,110052298.0,7.42,49.85,46.16,49.3,49.72,1.77,6.21,23.78,2.39,4999320000.0,1716113799.0,-0.02,-0.04,-1.84,-2.07
5357,300389,艾比森,18.27,-6.93,-1.36,165465.0,303648073.16,6.98,19.24,17.87,19.22,19.63,0.93,7.54,26.77,4.12,6743462792.0,4009121371.0,0.0,-0.27,12.43,12.57
5358,603986,兆易创新,238.1,-6.94,-17.75,427623.0,10377669656.0,5.92,252.0,236.86,249.9,255.85,1.45,6.4,101.29,8.37,166932493583.0,159013843547.0,-0.03,-0.06,7.25,11.13
5359,920045,蘅东光,322.01,-6.94,-24.03,12057.0,397265634.74,6.51,343.0,320.47,339.09,346.04,1.21,5.99,72.62,20.35,21919719171.0,6481267545.0,-0.04,-0.12,919.34,4.21
5360,301312,智立方,86.0,-6.95,-6.42,56174.0,489933850.98,5.71,89.99,84.71,89.52,92.42,0.75,9.28,111.73,8.46,10421532632.0,5207537790.0,-0.14,-0.26,66.31,72.1
5361,002192,融捷股份,76.28,-6.95,-5.7,520137.0,4082734926.01,8.78,82.8,75.6,82.24,81.98,1.22,20.07,71.05,5.61,19806498885.0,19765496478.0,0.63,0.05,44.8,47.4
5362,920036,觅睿科技,43.68,-6.96,-3.27,20793.0,93641086.95,6.84,46.89,43.68,46.58,46.95,0.82,15.92,30.04,5.23,2377145403.0,570516579.0,0.0,-0.48,102.97,102.97
5363,688125,安达智能,215.0,-6.96,-16.09,12687.0,276192050.0,8.65,230.88,210.89,226.47,231.09,1.3,1.55,-157.91,9.66,17657166540.0,17563293240.0,1.28,0.94,83.29,59.2
5364,601016,节能风电,4.28,-6.96,-0.32,6562677.0,2912618725.0,7.39,4.61,4.27,4.54,4.6,0.66,11.06,27.55,1.58,27564829353.0,25398163588.0,0.0,-0.23,42.67,45.08
5365,300185,通裕重工,3.33,-6.98,-0.25,3678394.0,1255598415.04,6.42,3.55,3.32,3.53,3.58,0.75,9.56,120.25,1.96,13440419996.0,12807152491.0,0.0,-0.3,15.63,17.25
5366,300920,润阳科技,40.62,-6.98,-3.05,43976.0,183732273.62,8.91,44.34,40.45,44.34,43.67,1.86,6.7,150.63,3.43,4062000000.0,2667451424.0,0.0,-0.05,-8.78,-11.83
5367,300072,海新能科,5.19,-6.99,-0.39,1114694.0,600747662.02,8.96,5.69,5.19,5.58,5.58,0.84,4.78,157.83,2.02,12195048367.0,12099764991.0,-0.19,-0.38,10.43,12.83
5368,001256,炜冈科技,23.14,-6.99,-1.74,50125.0,119462184.68,6.55,24.76,23.13,24.64,24.88,0.52,4.69,30.51,2.73,3300054592.0,2473956592.0,-0.39,-0.47,8.38,3.58
5369,300879,大叶股份,26.2,-6.99,-1.97,110773.0,298963160.12,6.35,27.99,26.2,27.68,28.17,0.84,5.51,32.12,3.85,5302849425.0,5266945338.0,-0.53,-0.76,-11.31,-12.23
5370,000722,湖南发展,14.61,-7.0,-1.1,718269.0,1084490056.85,8.15,15.88,14.6,15.47,15.71,1.02,15.47,79.43,2.15,6781352500.0,6781352500.0,-0.07,-0.2,22.16,23.81
5371,600691,潞化科技,3.31,-7.02,-0.25,1268312.0,433211601.0,7.3,3.56,3.3,3.52,3.56,0.88,5.34,-16.21,2.17,7864500261.0,7863189501.0,0.3,0.0,15.73,19.93
5372,601717,中创智领,20.39,-7.02,-1.54,475591.0,986360812.0,3.6,21.15,20.36,21.06,21.93,3.52,3.08,8.48,1.51,36404304573.0,31444759235.0,-0.05,-0.05,-16.57,-16.95
5373,600997,开滦股份,6.2,-7.05,-0.47,355988.0,226332680.0,6.6,6.62,6.18,6.56,6.67,1.16,2.24,-304.08,0.72,9844359076.0,9844359076.0,0.0,0.16,6.71,7.83
5374,688536,思瑞浦,171.93,-7.06,-13.07,58913.0,1033542001.0,6.17,183.0,171.58,183.0,185.0,1.15,4.34,137.23,3.82,23739317792.0,23322128959.0,0.01,-0.14,6.88,7.54
5375,688429,时创能源,14.19,-7.07,-1.08,67721.0,99175896.0,6.88,15.23,14.18,15.17,15.27,0.67,5.65,-16.86,4.13,5676011352.0,1700348919.0,-0.07,0.07,6.29,8.4
5376,600773,西藏城投,18.23,-7.08,-1.39,444372.0,825429110.0,6.93,19.5,18.14,19.33,19.62,0.81,4.67,-115.65,3.67,17347428549.0,17347428549.0,0.0,0.0,46.19,47.13
5377,002452,长高电新,10.21,-7.1,-0.78,390038.0,410116024.1,6.46,10.9,10.19,10.82,10.99,1.04,7.56,23.43,2.44,6333590588.0,5267387906.0,-0.1,-0.58,22.28,24.06
5378,002733,雄韬股份,24.52,-7.12,-1.88,265977.0,667398909.7,6.67,26.26,24.5,26.23,26.4,0.86,7.21,66.42,3.43,9420949667.0,9044514851.0,0.08,-0.28,19.79,24.91
5379,688200,华峰测控,262.8,-7.13,-20.17,42395.0,1145744242.0,7.28,282.1,261.49,280.14,282.97,1.72,3.13,66.16,8.72,35618131530.0,35618131530.0,-0.98,-0.37,35.84,38.17
5380,603806,福斯特,17.55,-7.14,-1.35,608495.0,1114673961.0,10.32,19.5,17.55,18.86,18.9,0.92,2.33,49.94,2.88,45783372802.0,45783372802.0,-0.28,-0.45,28.85,25.72
5381,600108,亚盛集团,4.55,-7.14,-0.35,2074254.0,963626626.0,9.18,4.95,4.5,4.95,4.9,1.35,10.65,188.49,2.05,8858463801.0,8858463801.0,0.22,0.22,39.57,44.44
5382,002893,京能热力,12.19,-7.16,-0.94,406713.0,513879075.22,8.07,13.24,12.18,13.0,13.13,0.84,20.06,41.67,2.64,3213771600.0,2471871353.0,-0.08,-0.08,6.84,8.94
5383,600731,湖南海利,6.99,-7.17,-0.54,225554.0,159782541.0,4.78,7.33,6.97,7.3,7.53,1.98,4.16,16.03,1.23,3905609488.0,3786361828.0,-0.14,0.0,1.01,3.25
