ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605299.SH,20260331,19.43,21.33,19.01,21.33,19.39,1.94,10.0052,416352.08,863127.491
605299.SH,20260330,18.76,20.9,18.0,19.39,19.25,0.14,0.7273,642646.15,1265218.019
605299.SH,20260327,17.01,19.25,16.14,19.25,17.5,1.75,10.0,623183.11,1107000.094
605299.SH,20260326,19.1,19.51,17.0,17.5,17.74,-0.24,-1.3529,742571.37,1354370.579
605299.SH,20260325,16.1,17.74,16.1,17.74,16.13,1.61,9.9814,215749.53,367514.755
605299.SH,20260324,14.92,16.13,13.78,16.13,14.66,1.47,10.0273,480254.0,736660.236
605299.SH,20260323,14.56,15.58,14.45,14.66,15.29,-0.63,-4.1203,388740.05,575013.122
605299.SH,20260320,14.08,15.29,14.05,15.29,13.9,1.39,10.0,368388.05,540206.738
605299.SH,20260319,13.77,14.33,13.52,13.9,14.06,-0.16,-1.138,405849.0,567249.332
605299.SH,20260318,13.33,14.06,13.32,14.06,13.3,0.76,5.7143,400861.0,554827.71
605299.SH,20260317,13.89,13.89,13.25,13.3,13.9,-0.6,-4.3165,319939.06,432159.417
605299.SH,20260316,12.64,13.9,12.64,13.9,12.64,1.26,9.9684,191519.37,258589.79
605299.SH,20260313,12.64,12.97,12.63,12.64,12.73,-0.09,-0.707,88929.4,113929.35
605299.SH,20260312,12.74,12.88,12.58,12.73,12.78,-0.05,-0.3912,99754.38,126857.114
605299.SH,20260311,12.61,12.83,12.56,12.78,12.59,0.19,1.5091,137413.0,174687.174
605299.SH,20260310,12.33,12.86,12.32,12.59,12.4,0.19,1.5323,93434.5,117287.544
605299.SH,20260309,12.15,12.43,12.1,12.4,12.32,0.08,0.6494,76566.5,94124.364
605299.SH,20260306,12.02,12.38,12.0,12.32,12.09,0.23,1.9024,55703.0,68261.68
605299.SH,20260305,12.14,12.35,12.0,12.09,11.94,0.15,1.2563,59974.0,73049.07
605299.SH,20260304,11.7,12.02,11.61,11.94,11.85,0.09,0.7595,68478.0,81008.785
605299.SH,20260303,12.11,12.32,11.83,11.85,12.11,-0.26,-2.147,106209.61,128129.325
605299.SH,20260302,12.51,12.8,12.08,12.11,12.75,-0.64,-5.0196,124790.0,154045.131
